交差点番号,管理者名,交差点名,地先名,緯度,経度
6240430010,渡島総合振興局 函館建設管理部,,木古内町字本町５３２,41.6777199992342 ,140.4346275329590 
6240430012,渡島総合振興局 函館建設管理部,,木古内町字本町１８２,41.6773353580819 ,140.4354858398440 
6240430013,渡島総合振興局 函館建設管理部,,木古内町字本町５７,41.6765660688807 ,140.4365158081050 
6240430024,北海道開発局 函館開発建設部,,木古内町字木古内１７番２,41.6822073094856 ,140.4416656494140 
6240430036,渡島総合振興局 函館建設管理部,,木古内町木古内,41.6755724425857 ,140.4314134046670 
6240430040,201334,,木古内町木古内町木古内,41.6804765268863 ,140.4332542419430 
6240430059,201334,,木古内町木古内町木古内,41.6763737451436 ,140.4315376281740 
6240430062,渡島総合振興局 函館建設管理部,,木古内町字本町３１０,41.6775276789454 ,140.4349708557130 
6240430064,201334,,木古内町字本町５３２,41.6781687443399 ,140.4349708557130 
6240430072,北海道開発局 函館開発建設部,木古内ＩＣ,木古内町字大平,41.6885531140664 ,140.4476737976080 
624043F001,201334,,木古内町木古内町泉沢,41.7020118397247 ,140.4962539672850 
6240440006,201236,,北斗市当別五丁目,41.7412183475362 ,140.5748748779300 
6240440007,201236,,北斗市三ツ石一丁目,41.7336607843510 ,140.5760765075680 
6240440016,北海道開発局 函館開発建設部,,木古内町泉沢,41.7008583450211 ,140.4977989196780 
6240440019,201334,,木古内町木古内町大釜谷,41.7255898621767 ,140.5504989624020 
6240500002,201362,,上ノ国町字向浜,41.8046304840109 ,140.1184225498240 
6240500003,北海道開発局 函館開発建設部,,上ノ国町字北村,41.8104758894429 ,140.1199722290040 
6240500004,北海道開発局 函館開発建設部,,上ノ国町字大留,41.8034383346162 ,140.1211738586430 
6240500009,北海道開発局 函館開発建設部,,上ノ国町字北村,41.8094522931495 ,140.1199722290040 
6240500013,201362,,上ノ国町上ノ国町勝山,41.7987035445961 ,140.1148223876950 
6240500014,北海道開発局 函館開発建設部,,上ノ国町勝山,41.7997273126228 ,140.1134490966800 
6240500016,201362,,上ノ国町上ノ国町勝山,41.7942243671790 ,140.1002311706540 
6240500017,北海道開発局 函館開発建設部,,上ノ国町勝山,41.8070211864016 ,140.0967979431150 
624050F001,201362,,上ノ国町字向浜,41.8074050514952 ,140.1141357421870 
624050F002,201362,,上ノ国町字大留,41.8054857030270 ,140.1208305358890 
624050F004,201362,,上ノ国町字勝山,41.7907687878513 ,140.1045227050780 
6240510007,201361,,江差町字椴川町２４１－３,41.8231415399719 ,140.1258087158200 
6240510022,201362,,上ノ国町字北村,41.8148259912181 ,140.1240921020510 
6240510023,201362,,上ノ国町字大留,41.8106038378296 ,140.1299285888670 
6240510036,北海道開発局 函館開発建設部,大留ラウンドアバウト,上ノ国町大留１４２－１３,41.8052297855534 ,140.1234054565430 
