city,geojson_url,source_page
常呂郡佐呂間町,https://www.geospatial.jp/ckan/dataset/7fcb547b-fa95-44a1-ad04-a11d808c883f/resource/6c650bfb-b7e7-42d3-803a-55498ccf961e/download/01552__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01552
紋別郡遠軽町,https://www.geospatial.jp/ckan/dataset/a935bb85-027a-4503-92b1-5701c95a8536/resource/c6157288-c4d2-460f-ae77-390ccead2f8e/download/01555__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01555
紋別郡湧別町,https://www.geospatial.jp/ckan/dataset/344e8c01-171c-424d-90f7-d4ca4cd34a8d/resource/1ae3a4c8-6213-4fb4-8df5-e958cc0a428a/download/01559__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01559
紋別郡滝上町,https://www.geospatial.jp/ckan/dataset/1c563a55-328b-40d4-bef6-04c5975072ca/resource/8e48f536-33cc-440b-8d42-ac8d53fecce3/download/01560__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01560
紋別郡興部町,https://www.geospatial.jp/ckan/dataset/df774fcb-d206-46cb-a230-9b2052909725/resource/95de24be-c50c-4c3d-a74b-bda21671a3dd/download/01561__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01561
紋別郡西興部村,https://www.geospatial.jp/ckan/dataset/13c028e2-2c2e-4804-995c-0af235fee15e/resource/a36b8794-deec-4ebd-907d-dacc8e5de258/download/01562__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01562
紋別郡雄武町,https://www.geospatial.jp/ckan/dataset/e8f1c374-528f-465a-bd25-eeec59adc505/resource/db5853f4-2f7d-40ac-a032-3f2dcbcaf4dd/download/01563__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01563
網走郡大空町,https://www.geospatial.jp/ckan/dataset/23b1b7c9-58bc-4d2e-97f0-c8771b36c634/resource/1aa15bf4-c36d-4d81-b9f1-c6c1b9f1af86/download/01564__13_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01564
虻田郡豊浦町,https://www.geospatial.jp/ckan/dataset/ca22b5d0-6390-4e7b-9727-c583032e6e45/resource/5b19939f-4cb6-4024-a431-6c4f2b11ac0a/download/01571__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01571
虻田郡虻田町,https://www.geospatial.jp/ckan/dataset/380a37c3-fa7a-4050-a6d0-7fa4dfda86ee/resource/b08cd65d-8f01-4a57-9b70-f2570b5d00fb/download/01572__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01572
有珠郡壮瞥町,https://www.geospatial.jp/ckan/dataset/05b4bdf3-77d4-4697-9e39-690c986b9f1f/resource/f5330f30-1c65-4dd8-9cd0-0bd8400b03ad/download/01575__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01575
白老郡白老町,https://www.geospatial.jp/ckan/dataset/385a77ef-a181-4482-8f1b-7a4063bcda78/resource/cf54d7ed-f422-4235-80d8-2f1294cfb7c6/download/01578__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01578
勇払郡厚真町,https://www.geospatial.jp/ckan/dataset/e180ea5d-57a4-47c1-a98b-3092aa5aa11c/resource/97ae79e2-66db-4ee3-b986-280d9f5079da/download/01581__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01581
虻田郡洞爺湖町,https://www.geospatial.jp/ckan/dataset/97b48200-4162-473e-9578-990bd061b363/resource/31396281-a86e-48c5-b454-bd64a1c05be9/download/01584__11_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01584
勇払郡安平町,https://www.geospatial.jp/ckan/dataset/1aa7d8cd-3fef-405f-b5f7-4fc10e57d1d4/resource/7df58150-0815-4505-a3ef-be862a4cf521/download/01585__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01585
勇払郡むかわ町,https://www.geospatial.jp/ckan/dataset/c4ff28fb-d2b6-4860-9ffb-8b558f282f2f/resource/ba4c7032-430c-49c4-9bab-763c60d9fc5f/download/01586__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01586
沙流郡日高町,https://www.geospatial.jp/ckan/dataset/39d8f02e-a431-47f1-9c3a-2221da7439ea/resource/de9fcc07-98c1-4ed7-91d3-1da060ca0b2d/download/01601__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01601
沙流郡平取町,https://www.geospatial.jp/ckan/dataset/fa4ebe34-e293-486b-a69f-15958f67526d/resource/8be83dbb-3aae-46cb-b5b2-5d2ea3c8cf3e/download/01602__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01602
新冠郡新冠町,https://www.geospatial.jp/ckan/dataset/ae93b645-d07a-4520-881d-911e5a19fe23/resource/d7d0ce91-0c65-4740-ad95-287b553abb11/download/01604__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01604
浦河郡浦河町,https://www.geospatial.jp/ckan/dataset/74a04f1a-1356-47e2-93aa-e89ed29c9764/resource/e1641f8d-5b1f-4c50-a3c7-a25c81265290/download/01607__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01607
様似郡様似町,https://www.geospatial.jp/ckan/dataset/225bea1b-7636-4f43-b6b8-e7cd5bdc0131/resource/36ed2969-2047-4e36-98a3-0955891a68f4/download/01608__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01608
幌泉郡えりも町,https://www.geospatial.jp/ckan/dataset/b218abc4-59f2-45aa-9c33-2160305ebc86/resource/f6f38663-f8a2-44fd-91ba-8fe94eaaa07c/download/01609__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01609
日高郡新ひだか町,https://www.geospatial.jp/ckan/dataset/b4849804-dd61-4e5c-9911-3ab13d8a49b8/resource/23a998a8-1b39-40bd-bbd5-ae57fd763755/download/01610__12_r_2025.geojson,https://www.geospatial.jp/ckan/dataset/aigid-moj-01610
