A45_021,A45_004,A45_010,A45_026,A45_014,A45_031,A45_015,A45_007,A45_018,A45_030,A45_027,A45_028,A45_009,A45_029,center_lng,center_lat
None,3056,イ,水源涵養,寿都町,None,None,0,None,None,1.03,None,後志,None,140.251704,42.740829
None,3055,い,水源涵養,寿都町,None,トドマツ,0,ダケカンバ,None,3.02,水涵保,後志,None,140.250884,42.740607
None,3055,イ,水源涵養,寿都町,None,None,0,None,None,0.59,None,後志,None,140.251232,42.740484
ブナ,3055,ち,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,2.39,水涵保,後志,None,140.254184,42.739282
None,3055,ろ,水源涵養,寿都町,None,トドマツ,0,ダケカンバ,None,13.13,水涵保,後志,None,140.253425,42.737722
None,3056,イ,水源涵養,寿都町,None,None,0,None,None,1.03,None,後志,None,140.249804,42.7407
ダケカンバ,3056,ち,水源涵養,寿都町,None,ブナ,0,他Ｌ,None,35.0,水涵保,後志,None,140.249305,42.740525
ブナ,3055,へ,水源涵養,寿都町,None,ダケカンバ,0,他Ｌ,None,1.7,水涵保,後志,None,140.249503,42.740499
ブナ,3055,へ,水源涵養,寿都町,None,ダケカンバ,0,他Ｌ,None,1.7,水涵保,後志,None,140.24895,42.740196
None,3055,イ,水源涵養,寿都町,None,None,0,None,None,0.59,None,後志,None,140.249134,42.740351
ブナ,3055,へ,水源涵養,寿都町,None,ダケカンバ,0,他Ｌ,None,1.7,水涵保,後志,None,140.248546,42.739991
None,3056,イ,水源涵養,寿都町,None,None,0,None,None,1.03,None,後志,None,140.247515,42.739534
ダケカンバ,3056,ち,水源涵養,寿都町,None,ブナ,0,他Ｌ,None,35.0,水涵保,後志,None,140.248065,42.739938
None,3055,に,水源涵養,寿都町,None,トドマツ,0,None,None,8.99,水涵保,後志,None,140.249781,42.739115
他Ｌ,3055,と,水源涵養,寿都町,None,ダケカンバ,0,ブナ,None,3.36,水涵保,後志,None,140.249169,42.737352
None,3055,に,水源涵養,寿都町,None,トドマツ,0,None,None,8.99,水涵保,後志,None,140.247514,42.738748
None,3055,イ,水源涵養,寿都町,None,None,0,None,None,0.59,None,後志,None,140.24725,42.739124
ブナ,3056,と,水源涵養,寿都町,None,ダケカンバ,0,他Ｌ,None,2.09,水涵保,後志,None,140.246278,42.738746
None,3055,は,水源涵養,寿都町,None,トドマツ,0,None,None,3.73,水涵保,後志,None,140.246647,42.738552
None,3055,は,水源涵養,寿都町,None,トドマツ,0,None,None,3.73,水涵保,後志,None,140.248754,42.736634
None,3055,に,水源涵養,寿都町,None,トドマツ,0,None,None,8.99,水涵保,後志,None,140.246976,42.738205
None,3517,に,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,7.56,水涵保,後志,None,140.293366,42.736052
None,3517,ほ,水源涵養,寿都町,None,カラマツ,0,ダケカンバ,None,6.31,水涵保,後志,None,140.295426,42.733861
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.296333,42.73416
None,3517,ロ,水源涵養,寿都町,None,None,0,None,None,0.38,None,後志,None,140.296908,42.732644
None,3517,む,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,1.99,水涵保,後志,None,140.295533,42.731622
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.29396,42.733046
None,3517,り,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,1.11,水涵保,後志,None,140.294559,42.73074
None,3517,か,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,5.54,水涵保,後志,None,140.294983,42.728909
ブナ,3517,そ,水源涵養,寿都町,None,他Ｌ,0,イタヤカエデ,None,4.38,水涵保,後志,None,140.29375,42.730445
None,3517,わ,水源涵養,寿都町,None,ダケカンバ,0,None,None,0.62,水涵保,後志,None,140.296246,42.728068
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.293199,42.727562
ブナ,3516,ぬ,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,7.61,水涵保,後志,None,140.292865,42.726124
None,3516,い,水源涵養,寿都町,None,トドマツ,0,None,None,0.85,水涵保,後志,None,140.297196,42.723424
None,3516,ろ,水源涵養,寿都町,None,トドマツ,0,ダケカンバ,None,13.16,水涵保,後志,None,140.29532,42.724941
None,3516,へ,水源涵養,寿都町,None,トドマツ,0,None,None,2.19,水涵保,後志,None,140.296181,42.721063
ブナ,3516,ぬ,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,7.61,水涵保,後志,None,140.294827,42.721798
ブナ,3516,ぬ,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,7.61,水涵保,後志,None,140.294152,42.723329
None,3516,に,水源涵養,寿都町,None,トドマツ,0,None,None,3.02,水涵保,後志,None,140.29476,42.72252
ブナ,3517,そ,水源涵養,寿都町,None,他Ｌ,0,イタヤカエデ,None,4.38,水涵保,後志,None,140.292761,42.734832
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.291163,42.73663
None,3517,ち,水源涵養,寿都町,None,カラマツ,0,他Ｌ,None,7.96,水涵保,後志,None,140.289934,42.735975
None,3517,る,水源涵養,寿都町,None,カラマツ,0,ダケカンバ,None,1.5,水涵保,後志,None,140.292582,42.732364
None,3517,と,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,12.81,水涵保,後志,None,140.290494,42.733815
None,3517,と,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,12.81,水涵保,後志,None,140.287988,42.733431
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.287858,42.731917
None,3517,ぬ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,2.41,水涵保,後志,None,140.292236,42.731417
ブナ,3517,そ,水源涵養,寿都町,None,他Ｌ,0,イタヤカエデ,None,4.38,水涵保,後志,None,140.291046,42.731197
None,3517,つ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,2.91,水涵保,後志,None,140.290238,42.730227
None,3517,よ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,6.43,水涵保,後志,None,140.291407,42.728315
ブナ,3517,そ,水源涵養,寿都町,None,他Ｌ,0,イタヤカエデ,None,4.38,水涵保,後志,None,140.290045,42.728771
None,3517,た,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,4.55,水涵保,後志,None,140.289703,42.726772
None,3517,れ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,4.98,水涵保,後志,None,140.287641,42.731165
None,3517,れ,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,4.98,水涵保,後志,None,140.288533,42.730117
None,3517,ニ,水源涵養,寿都町,None,None,0,None,None,0.28,None,後志,None,140.288036,42.73074
None,3517,た,水源涵養,寿都町,None,トドマツ,0,他Ｌ,None,4.55,水涵保,後志,None,140.288598,42.727704
ダケカンバ,3517,ね,水源涵養,寿都町,None,他Ｌ,0,ブナ,None,20.59,水涵保,後志,None,140.287678,42.727744
ブナ,3516,の,水源涵養,寿都町,None,他Ｌ,0,ダケカンバ,None,0.18,水涵保,後志,None,140.292584,42.723558
