面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
61.31,21,0008,None,None,0,08,00,2,133,None,99210001050008,None,21105080,0105,None,98.0,25,11,142.606394,44.548045
4.31,21,0019,None,None,0,08,00,2,133,None,99210001060019,None,21106190,0106,None,99.0,25,11,142.602819,44.538741
36.23,21,0052,None,None,0,08,00,1,63,None,99210001050052,None,21105520,0105,None,23.0,25,11,142.605485,44.542249
16.46,21,0042,None,None,2,08,00,2,133,None,99210001070042,None,21107420,0107,None,98.0,25,11,142.634152,44.569757
256.26,21,0008,None,None,0,08,00,2,133,None,99210001040008,None,21104080,0104,None,98.0,25,11,142.640912,44.59214
49.1,21,0015,None,None,0,08,00,2,133,None,99210001080015,None,21108150,0108,None,98.0,25,11,142.638215,44.570174
18.97,21,0051,None,None,0,08,00,1,55,None,99210001110051,None,21111510,0111,None,23.0,25,12,142.611163,44.511447
42.23,21,0008,None,None,0,08,00,2,133,None,99210001060008,None,21106080,0106,None,99.0,25,11,142.61946,44.545678
61.31,21,0008,None,None,0,08,00,2,133,None,99210001050008,None,21105080,0105,None,98.0,25,11,142.616952,44.545212
15.05,21,0006,None,None,0,08,00,2,133,None,99210001030006,None,21103060,0103,None,99.0,25,11,142.623923,44.572154
106.76,21,0002,None,None,0,08,00,2,133,None,99210001040002,None,21104020,0104,None,98.0,25,11,142.627633,44.579343
23.82,21,0002,None,None,0,08,00,2,133,None,99210002560002,None,21256020,0256,None,98.0,25,11,142.330171,44.633004
19.9,21,0005,None,None,0,08,00,2,133,None,99210001020005,None,21102050,0102,None,99.0,25,11,142.596011,44.560739
2.28,21,0051,None,None,2,08,00,1,86,None,99210001020051,None,21102510,0102,None,23.0,25,11,142.595756,44.559766
256.26,21,0008,None,None,0,08,00,2,133,None,99210001040008,None,21104080,0104,None,98.0,25,11,142.622104,44.585854
90.43,21,0011,None,None,0,08,00,2,133,None,99210002700011,None,21270110,0270,None,98.0,26,11,142.373251,44.683026
27.09,21,0005,None,None,0,08,00,2,133,None,99210001310005,None,21131050,0131,None,99.0,25,12,142.470156,44.487507
27.81,21,0003,None,None,0,08,00,2,133,None,99210001430003,None,21143030,0143,None,98.0,25,11,142.467629,44.487608
8.13,21,0002,None,None,0,08,00,2,133,None,99210001010002,None,21101020,0101,None,39.0,25,11,142.587982,44.589192
21.93,21,0054,None,None,0,08,00,1,56,None,99210001000054,None,21100540,0100,None,26.0,25,11,142.587291,44.587504
25.85,21,0056,None,None,0,08,00,1,50,None,99210000990056,None,21099560,0099,None,26.0,25,11,142.575178,44.578332
34.38,21,0003,None,None,0,08,00,2,133,None,99210000990003,None,21099030,0099,None,98.0,25,11,142.576116,44.576012
27.12,21,0001,None,None,0,08,00,2,133,None,99210001010001,None,21101010,0101,None,99.0,25,11,142.597848,44.59458
17.31,21,0002,None,None,0,08,00,2,133,None,99210001000002,None,21100020,0100,None,98.0,25,11,142.587903,44.579162
262.91,21,0003,None,None,0,08,00,2,133,None,99210000790003,None,21079030,0079,18.0,98.0,25,11,142.482672,44.554102
24.96,21,0012,None,None,0,08,00,2,133,None,99210000640012,None,21064120,0064,None,98.0,25,11,142.44876,44.557291
76.05,21,0041,None,None,2,08,00,2,133,None,99210000780041,None,21078410,0078,18.0,99.0,25,11,142.473146,44.532186
74.06,21,0041,None,None,3,08,00,2,133,None,99210000770041,None,21077410,0077,18.0,98.0,25,11,142.470788,44.523846
30.93,21,0006,None,None,0,08,00,2,133,None,99210000850006,None,21085060,0085,None,99.0,25,11,142.534629,44.530754
78.13,21,0001,None,None,0,08,00,2,133,None,99210000750001,None,21075010,0075,None,99.0,25,11,142.44476,44.517203
27.99,21,0005,None,None,0,08,00,2,133,None,99210000730005,None,21073050,0073,None,98.0,25,11,142.427839,44.516448
16.95,21,0042,None,None,2,08,00,2,133,None,99210000460042,None,21046420,0046,None,98.0,25,11,142.354244,44.613991
29.72,21,0041,None,None,2,08,00,2,133,None,99210002550041,None,21255410,0255,None,98.0,25,11,142.353934,44.609607
24.97,21,0002,None,None,0,08,00,2,133,None,99210000470002,None,21047020,0047,None,99.0,25,11,142.367334,44.625616
34.29,21,0043,None,None,2,08,00,2,133,None,99210002590043,None,21259430,0259,None,98.0,25,11,142.361165,44.624179
13.3,21,0044,None,None,2,08,00,2,133,None,99210000720044,None,21072440,0072,None,98.0,25,11,142.437197,44.540826
5.54,21,0041,None,None,2,08,00,2,133,None,99210002840041,None,21284410,0284,None,98.0,26,11,142.287698,44.746665
28.81,21,0002,None,None,0,08,00,2,133,None,99210000720002,None,21072020,0072,None,98.0,25,11,142.435911,44.537556
1.5,21,0042,None,None,2,08,00,2,133,None,99210000710042,None,21071420,0071,None,98.0,25,11,142.435585,44.541252
7.14,21,0001,None,None,0,08,00,2,133,None,99210000470001,None,21047010,0047,None,98.0,25,11,142.371171,44.628909
69.78,21,0001,None,None,0,08,00,2,133,None,99210002740001,None,21274010,0274,None,98.0,26,11,142.393575,44.696116
318.24,21,0001,None,None,0,08,00,2,133,None,99210002750001,None,21275010,0275,85.0,98.0,26,11,142.40342,44.682459
13.47,21,0051,None,None,0,08,00,1,45,None,99210000630051,None,21063510,0063,None,26.0,25,11,142.413387,44.562922
