小字名,市区町村名,地番,大字名,center_lng,center_lat
字小川,古宇郡神恵内村,1049-2,大字神恵内村,140.482847,43.153803
字小川,古宇郡神恵内村,1144,大字神恵内村,140.483792,43.156908
,古宇郡神恵内村,2465,大字神恵内村,140.483601,43.156816
字小川,古宇郡神恵内村,843-2,大字神恵内村,140.481846,43.156934
字小川,古宇郡神恵内村,843-1,大字神恵内村,140.482487,43.156349
,古宇郡神恵内村,2466,大字神恵内村,140.483529,43.156409
字小川,古宇郡神恵内村,1049-4,大字神恵内村,140.483246,43.153863
字小川,古宇郡神恵内村,675-4,大字神恵内村,140.482843,43.15407
字小川,古宇郡神恵内村,1049-1,大字神恵内村,140.481369,43.155215
字小川,古宇郡神恵内村,675-2,大字神恵内村,140.482538,43.154377
字小川,古宇郡神恵内村,675-1,大字神恵内村,140.482395,43.154177
字小川,古宇郡神恵内村,674-1,大字神恵内村,140.482568,43.155175
,古宇郡神恵内村,2463,大字神恵内村,140.482768,43.154327
,古宇郡神恵内村,2482,大字神恵内村,140.478467,43.15505
字小川,古宇郡神恵内村,517,大字神恵内村,140.478987,43.155828
字小川,古宇郡神恵内村,944-1,大字神恵内村,140.478504,43.155546
字小川,古宇郡神恵内村,1082,大字神恵内村,140.477509,43.155542
,古宇郡神恵内村,2455,大字神恵内村,140.477645,43.155758
,古宇郡神恵内村,2456,大字神恵内村,140.477729,43.155801
,古宇郡神恵内村,2454,大字神恵内村,140.477395,43.155718
字小川,古宇郡神恵内村,1129,大字神恵内村,140.477585,43.15585
,古宇郡神恵内村,2458,大字神恵内村,140.478264,43.155997
字小川,古宇郡神恵内村,944-2,大字神恵内村,140.477866,43.155923
,古宇郡神恵内村,2457,大字神恵内村,140.47778,43.155931
,古宇郡神恵内村,2459,大字神恵内村,140.478355,43.156083
,古宇郡神恵内村,2460,大字神恵内村,140.47849,43.156104
字小川,古宇郡神恵内村,1128,大字神恵内村,140.478181,43.156063
,古宇郡神恵内村,水-04,大字神恵内村,140.482304,43.15729
字小川,古宇郡神恵内村,518-3,大字神恵内村,140.479164,43.156558
字小川,古宇郡神恵内村,518-2,大字神恵内村,140.479061,43.156396
字小川,古宇郡神恵内村,518-1,大字神恵内村,140.47911,43.156203
字小川,古宇郡神恵内村,516-2,大字神恵内村,140.479368,43.156463
字小川,古宇郡神恵内村,516-1,大字神恵内村,140.480021,43.156304
字小川,古宇郡神恵内村,516-4,大字神恵内村,140.479925,43.156777
字小川,古宇郡神恵内村,516-3,大字神恵内村,140.479914,43.156541
字小川,古宇郡神恵内村,504-5,大字神恵内村,140.481265,43.156888
字小川,古宇郡神恵内村,504-4,大字神恵内村,140.480586,43.156818
字小川,古宇郡神恵内村,504-1,大字神恵内村,140.480837,43.15636
字小川,古宇郡神恵内村,504-2,大字神恵内村,140.481354,43.156595
,古宇郡神恵内村,2461,大字神恵内村,140.479655,43.156077
字小川,古宇郡神恵内村,515,大字神恵内村,140.479696,43.155639
字小川,古宇郡神恵内村,504-6,大字神恵内村,140.480727,43.155865
字小川,古宇郡神恵内村,1049-3,大字神恵内村,140.481715,43.15569
字小川,古宇郡神恵内村,675-3,大字神恵内村,140.481887,43.155478
字小川,古宇郡神恵内村,674-2,大字神恵内村,140.482034,43.155437
,古宇郡神恵内村,2462,大字神恵内村,140.481386,43.156097
字小川,古宇郡神恵内村,504-3,大字神恵内村,140.480297,43.156886
,古宇郡神恵内村,2464,大字神恵内村,140.483585,43.156874
字小川,古宇郡神恵内村,843-3,大字神恵内村,140.482977,43.157018
字トーマル,古宇郡神恵内村,1331,大字神恵内村,140.504066,43.183875
字トーマル,古宇郡神恵内村,2228-1,大字神恵内村,140.501376,43.183339
字トーマル,古宇郡神恵内村,2244-2,大字神恵内村,140.500713,43.183097
字トーマル,古宇郡神恵内村,1343,大字神恵内村,140.4992,43.183084
字トーマル,古宇郡神恵内村,2244-1,大字神恵内村,140.500278,43.183544
字トーマル,古宇郡神恵内村,1340,大字神恵内村,140.500521,43.183654
字トーマル,古宇郡神恵内村,2244-3,大字神恵内村,140.500411,43.183358
字トーマル,古宇郡神恵内村,2228-2,大字神恵内村,140.500844,43.183332
字トーマル,古宇郡神恵内村,2263,大字神恵内村,140.496037,43.185987
字トーマル,古宇郡神恵内村,1342,大字神恵内村,140.498556,43.18486
字トーマル,古宇郡神恵内村,2243,大字神恵内村,140.498435,43.185449
字トーマル,古宇郡神恵内村,1339-1,大字神恵内村,140.500811,43.184763
字トーマル,古宇郡神恵内村,1414,大字神恵内村,140.501472,43.185459
字トーマル,古宇郡神恵内村,2247-1,大字神恵内村,140.502196,43.185417
字トーマル,古宇郡神恵内村,1388,大字神恵内村,140.50202,43.18511
字トーマル,古宇郡神恵内村,1375,大字神恵内村,140.502969,43.184979
字トーマル,古宇郡神恵内村,2247-2,大字神恵内村,140.502516,43.185088
字トーマル,古宇郡神恵内村,2247-3,大字神恵内村,140.502491,43.185113
字トーマル,古宇郡神恵内村,1377,大字神恵内村,140.502554,43.185333
