小字名,市区町村名,地番,予備名,center_lng,center_lat
字ペンケクンベツ原野基線,足寄郡陸別町,24-5,,143.760921,43.411715
字ペンケクンベツ原野基線,足寄郡陸別町,道-25,,143.761185,43.411399
字ペンケクンベツ原野基線,足寄郡陸別町,75,,143.761106,43.410954
字ペンケクンベツ原野基線,足寄郡陸別町,24-6,,143.760351,43.411291
字ペンケクンベツ原野基線,足寄郡陸別町,24-3,,143.759521,43.41144
字ペンケクンベツ原野基線,足寄郡陸別町,24-9,,143.759877,43.411792
字ペンケクンベツ原野基線,足寄郡陸別町,24-2,,143.760188,43.411719
字ペンケクンベツ原野基線,足寄郡陸別町,24-8,,143.759646,43.412239
字ペンケクンベツ原野基線,足寄郡陸別町,無地番-97,,143.759678,43.412333
字ペンケクンベツ原野基線,足寄郡陸別町,23-14,,143.759573,43.412475
字ペンケクンベツ原野基線,足寄郡陸別町,23-13,,143.759393,43.412595
字ペンケクンベツ原野基線,足寄郡陸別町,23-3,,143.759155,43.412678
字ペンケクンベツ原野基線,足寄郡陸別町,59W2,,143.759565,43.412352
字ペンケクンベツ原野基線,足寄郡陸別町,59W1,,143.759408,43.412361
字ペンケクンベツ原野基線,足寄郡陸別町,23-9,,143.758238,43.413045
字ペンケクンベツ原野基線,足寄郡陸別町,23-12,,143.758781,43.412591
字ペンケクンベツ原野基線,足寄郡陸別町,23-7,,143.758006,43.412703
字ペンケクンベツ原野基線,足寄郡陸別町,24-4,,143.758533,43.411953
字ペンケクンベツ原野基線,足寄郡陸別町,18-2,,143.756904,43.408413
字ペンケクンベツ原野基線,足寄郡陸別町,18-3,,143.75482,43.410311
字ペンケクンベツ原野基線,足寄郡陸別町,水-3,,143.754754,43.411321
字ペンケクンベツ原野基線,足寄郡陸別町,18-9,,143.755642,43.410633
字ペンケクンベツ原野基線,足寄郡陸別町,18-1,,143.755483,43.411256
字ペンケクンベツ原野基線,足寄郡陸別町,18-10,,143.755283,43.411674
字ペンケクンベツ原野基線,足寄郡陸別町,18-4,,143.753314,43.41071
字ペンケクンベツ原野基線,足寄郡陸別町,17-3,,143.753829,43.412352
字ペンケクンベツ原野基線,足寄郡陸別町,17-5,,143.753984,43.412685
字ペンケクンベツ原野基線,足寄郡陸別町,道-23,,143.75393,43.412995
字ペンケクンベツ原野基線,足寄郡陸別町,道-22,,143.754268,43.412737
字ペンケクンベツ原野基線,足寄郡陸別町,18-7,,143.754776,43.411948
字ペンケクンベツ原野基線,足寄郡陸別町,道-21,,143.754705,43.412399
字ペンケクンベツ原野基線,足寄郡陸別町,20-3,,143.755576,43.41222
字ペンケクンベツ原野基線,足寄郡陸別町,19-5,,143.756417,43.412822
字ペンケクンベツ原野基線,足寄郡陸別町,20-2,,143.75659,43.412337
字ペンケクンベツ原野基線,足寄郡陸別町,道-5,,143.756117,43.412522
字ペンケクンベツ原野基線,足寄郡陸別町,20-4,,143.75617,43.411793
字ペンケクンベツ原野基線,足寄郡陸別町,道-20,,143.756138,43.41131
字ペンケクンベツ原野基線,足寄郡陸別町,20-5,,143.756876,43.411168
字ペンケクンベツ原野基線,足寄郡陸別町,20-1,,143.757361,43.411854
字ペンケクンベツ原野基線,足寄郡陸別町,19-2,,143.757124,43.412831
字ペンケクンベツ原野基線,足寄郡陸別町,19-8,,143.757586,43.412698
字ペンケクンベツ原野基線,足寄郡陸別町,19-7,,143.757766,43.413128
字ペンケクンベツ原野基線,足寄郡陸別町,19-4,,143.757394,43.41376
字ペンケクンベツ原野基線,足寄郡陸別町,19-1,,143.756435,43.413438
字ペンケクンベツ原野基線,足寄郡陸別町,19-3,,143.755303,43.413144
字ペンケクンベツ原野基線,足寄郡陸別町,23-1,,143.759384,43.413916
字ペンケクンベツ原野基線,足寄郡陸別町,道-28,,143.761453,43.414194
字ペンケクンベツ原野基線,足寄郡陸別町,25-1,,143.762621,43.413304
字ペンケクンベツ原野基線,足寄郡陸別町,25-9,,143.762195,43.413787
字ペンケクンベツ原野基線,足寄郡陸別町,25-4,,143.76197,43.41433
字ペンケクンベツ原野基線,足寄郡陸別町,29-5,,143.765995,43.413724
字ペンケクンベツ原野基線,足寄郡陸別町,29-6,,143.765214,43.413833
字ペンケクンベツ原野基線,足寄郡陸別町,25-10,,143.764291,43.413505
字ペンケクンベツ原野基線,足寄郡陸別町,25-5,,143.763146,43.41321
字ペンケクンベツ原野基線,足寄郡陸別町,25-7,,143.76373,43.414045
字ペンケクンベツ原野基線,足寄郡陸別町,25-11,,143.764457,43.414579
字ペンケクンベツ原野基線,足寄郡陸別町,道-7,,143.764993,43.412066
字ペンケクンベツ原野基線,足寄郡陸別町,25-6,,143.763856,43.412575
字ペンケクンベツ原野基線,足寄郡陸別町,26-2,,143.764309,43.411714
字ペンケクンベツ原野基線,足寄郡陸別町,26-1,,143.761902,43.411429
字ペンケクンベツ原野基線,足寄郡陸別町,水-4,,143.759552,43.412771
字ペンケクンベツ原野基線,足寄郡陸別町,30,,143.766337,43.411256
字ペンケクンベツ原野基線,足寄郡陸別町,29-11,,143.765455,43.412872
字ペンケクンベツ原野基線,足寄郡陸別町,29-2,,143.766131,43.412407
字ペンケクンベツ原野基線,足寄郡陸別町,29-9,,143.766816,43.412951
字ペンケクンベツ原野基線,足寄郡陸別町,29-10,,143.767208,43.412975
字ペンケクンベツ原野基線,足寄郡陸別町,29-8,,143.767205,43.4127
字ペンケクンベツ原野基線,足寄郡陸別町,29-7,,143.76718,43.412445
字ペンケクンベツ原野基線,足寄郡陸別町,29-1,,143.767741,43.412607
字ペンケクンベツ原野基線,足寄郡陸別町,31-1,,143.768439,43.412399
字ペンケクンベツ原野基線,足寄郡陸別町,道-30,,143.768192,43.412553
字ペンケクンベツ原野基線,足寄郡陸別町,道-29,,143.768101,43.411577
字ペンケクンベツ原野基線,足寄郡陸別町,道-8,,143.769541,43.41182
字ペンケクンベツ原野基線,足寄郡陸別町,32-7,,143.768475,43.411596
字ペンケクンベツ原野基線,足寄郡陸別町,32-12,,143.768168,43.411237
字ペンケクンベツ原野基線,足寄郡陸別町,32-8,,143.769843,43.410429
字ペンケクンベツ原野基線,足寄郡陸別町,32-9,,143.770333,43.409487
字ペンケクンベツ,足寄郡陸別町,45-3,,143.770763,43.408176
字ペンケクンベツ,足寄郡陸別町,45-5,,143.77155,43.407424
字ペンケクンベツ原野基線,足寄郡陸別町,道-9,,143.77031,43.411783
字ペンケクンベツ原野基線,足寄郡陸別町,32-1,,143.769457,43.411512
字ペンケクンベツ原野基線,足寄郡陸別町,31-2,,143.769761,43.412401
字ペンケクンベツ原野基線,足寄郡陸別町,31-10,,143.769471,43.412993
字ペンケクンベツ原野基線,足寄郡陸別町,31-8,,143.771036,43.413505
字ペンケクンベツ原野基線,足寄郡陸別町,31-7,,143.770639,43.41459
字ペンケクンベツ原野基線,足寄郡陸別町,31-11,,143.770752,43.415107
字ペンケクンベツ原野基線,足寄郡陸別町,水-5,,143.771352,43.414754
字ペンケクンベツ原野基線,足寄郡陸別町,31-5,,143.769128,43.413359
字ペンケクンベツ原野基線,足寄郡陸別町,31-6,,143.769613,43.41411
字ペンケクンベツ原野基線,足寄郡陸別町,29-12,,143.767766,43.413217
字ペンケクンベツ原野基線,足寄郡陸別町,29-4,,143.766765,43.413464
字ペンケクンベツ原野基線,足寄郡陸別町,31-9,,143.771766,43.41492
字ペンケクンベツ原野基線,足寄郡陸別町,35-1,,143.773099,43.413746
字ペンケクンベツ原野基線,足寄郡陸別町,35-7,,143.772291,43.413096
字ペンケクンベツ原野基線,足寄郡陸別町,35-13,,143.772652,43.415356
字ペンケクンベツ原野基線,足寄郡陸別町,35-12,,143.773812,43.41482
字ペンケクンベツ原野基線,足寄郡陸別町,35-6,,143.774274,43.413387
字ペンケクンベツ原野基線,足寄郡陸別町,道-34,,143.775194,43.413724
字ペンケクンベツ原野基線,足寄郡陸別町,35-14,,143.774855,43.414515
字ペンケクンベツ原野基線,足寄郡陸別町,35-17,,143.774915,43.417376
字ペンケクンベツ原野基線,足寄郡陸別町,35-15,,143.774602,43.415881
字ペンケクンベツ原野基線,足寄郡陸別町,37-1,,143.776415,43.413466
字ペンケクンベツ原野基線,足寄郡陸別町,37-4,,143.776398,43.411572
字ペンケクンベツ原野基線,足寄郡陸別町,38-1,,143.775427,43.411117
字ペンケクンベツ原野基線,足寄郡陸別町,道-11,,143.77693,43.411426
字ペンケクンベツ原野基線,足寄郡陸別町,38-3,,143.778281,43.411246
字ペンケクンベツ原野基線,足寄郡陸別町,37-2,,143.777587,43.411496
字ペンケクンベツ原野基線,足寄郡陸別町,35-18,,143.772508,43.412492
字ペンケクンベツ原野基線,足寄郡陸別町,41-5,,143.778838,43.411876
字ペンケクンベツ原野基線,足寄郡陸別町,41-3,,143.779457,43.411879
字ペンケクンベツ原野基線,足寄郡陸別町,42-8,,143.779663,43.410988
字ペンケクンベツ原野基線,足寄郡陸別町,42-7,,143.778991,43.410994
字ペンケクンベツ原野基線,足寄郡陸別町,42-1,,143.778552,43.410955
字ペンケクンベツ原野基線,足寄郡陸別町,42-2,,143.778784,43.411237
字ペンケクンベツ原野基線,足寄郡陸別町,41-1,,143.778502,43.411807
字ペンケクンベツ原野基線,足寄郡陸別町,37-3,,143.777838,43.411908
字ペンケクンベツ,足寄郡陸別町,35,,143.779691,43.410509
字ペンケクンベツ,足寄郡陸別町,道-2,,143.779651,43.409843
字ペンケクンベツ,足寄郡陸別町,33,,143.779207,43.408789
字ペンケクンベツ,足寄郡陸別町,34,,143.777796,43.409489
字ペンケクンベツ,足寄郡陸別町,34-2,,143.778513,43.410686
字ペンケクンベツ原野基線,足寄郡陸別町,38-4,,143.776048,43.410516
字ペンケクンベツ,足寄郡陸別町,32,,143.771753,43.410125
字ペンケクンベツ原野基線,足寄郡陸別町,道-31,,143.774901,43.410853
字ペンケクンベツ原野基線,足寄郡陸別町,道-32,,143.774981,43.411681
字ペンケクンベツ原野基線,足寄郡陸別町,道-33,,143.774976,43.411924
字ペンケクンベツ原野基線,足寄郡陸別町,35-5,,143.774867,43.412191
字ペンケクンベツ原野基線,足寄郡陸別町,無地番-49,,143.773467,43.412337
字ペンケクンベツ原野基線,足寄郡陸別町,35-19,,143.774363,43.412352
字ペンケクンベツ原野基線,足寄郡陸別町,道-10,,143.771944,43.411701
字ペンケクンベツ原野基線,足寄郡陸別町,35-20,,143.774454,43.411745
字ペンケクンベツ原野基線,足寄郡陸別町,36-3,,143.773772,43.41121
字ペンケクンベツ原野基線,足寄郡陸別町,35-11,,143.771632,43.411835
字ペンケクンベツ原野基線,足寄郡陸別町,35-10,,143.772694,43.411781
字ペンケクンベツ原野基線,足寄郡陸別町,35-9,,143.773279,43.411837
字ペンケクンベツ原野基線,足寄郡陸別町,36-1,,143.773338,43.411524
字ペンケクンベツ原野基線,足寄郡陸別町,35-4,,143.772021,43.412129
字ペンケクンベツ原野基線,足寄郡陸別町,35-8,,143.773398,43.412535
字ペンケクンベツ原野基線,足寄郡陸別町,35-3,,143.772556,43.412432
字ペンケクンベツ原野基線,足寄郡陸別町,35-2,,143.771657,43.412469
字ペンケクンベツ原野基線,足寄郡陸別町,無地番-56,,143.772127,43.412417
字ペンケクンベツ原野基線,足寄郡陸別町,無地番-71,,143.771486,43.411632
字ペンケクンベツ原野基線,足寄郡陸別町,36-2,,143.774137,43.410637
字ペンケクンベツ原野基線,足寄郡陸別町,32-3,,143.77062,43.410009
字ペンケクンベツ原野基線,足寄郡陸別町,32-10,,143.772485,43.406993
字ペンケクンベツ,足寄郡陸別町,45-4,,143.772763,43.406406
字ペンケクンベツ原野基線,足寄郡陸別町,32-2,,143.772929,43.406876
字ペンケクンベツ,足寄郡陸別町,45-6,,143.773144,43.405215
字ペンケクンベツ原野基線,足寄郡陸別町,32-11,,143.772862,43.405854
字ペンケクンベツ,足寄郡陸別町,41,,143.780331,43.407472
字ペンケクンベツ,足寄郡陸別町,46,,143.78276,43.403649
字ペンケクンベツ,足寄郡陸別町,45-2,,143.768207,43.408194
字ペンケクンベツ,足寄郡陸別町,水-44,,143.792754,43.408193
字ペンケクンベツ,足寄郡陸別町,44-2,,143.792404,43.40829
字ペンケクンベツ,足寄郡陸別町,40-2,,143.781737,43.406649
字ペンケクンベツ,足寄郡陸別町,40,,143.781236,43.408679
字ペンケクンベツ,足寄郡陸別町,36,,143.782702,43.40806
字ペンケクンベツ,足寄郡陸別町,39,,143.782233,43.406742
字ペンケクンベツ,足寄郡陸別町,42-1,,143.788946,43.408364
字ペンケクンベツ,足寄郡陸別町,47,,143.787384,43.407742
字ペンケクンベツ原野基線,足寄郡陸別町,48-6,,143.788091,43.409547
字ペンケクンベツ原野基線,足寄郡陸別町,48-7,,143.78692,43.41025
字ペンケクンベツ原野基線,足寄郡陸別町,道-37,,143.788619,43.410657
字ペンケクンベツ原野基線,足寄郡陸別町,道-38,,143.788661,43.411008
字ペンケクンベツ原野基線,足寄郡陸別町,道-39,,143.788714,43.411499
字ペンケクンベツ原野基線,足寄郡陸別町,47-4,,143.787079,43.411446
字ペンケクンベツ原野基線,足寄郡陸別町,47-5,,143.787773,43.41142
字ペンケクンベツ原野基線,足寄郡陸別町,筆界未定地-27,,143.786354,43.411233
