小字名,市区町村名,地番,大字名,center_lng,center_lat
字栄町,利尻郡利尻富士町,205-16,鴛泊,141.215969,45.244265
字栄町,利尻郡利尻富士町,205-9,鴛泊,141.21608,45.244436
字栄町,利尻郡利尻富士町,205-6,鴛泊,141.216013,45.244332
字栄町,利尻郡利尻富士町,205-18,鴛泊,141.21573,45.244287
字栄町,利尻郡利尻富士町,205-17,鴛泊,141.215758,45.244332
字栄町,利尻郡利尻富士町,205-3,鴛泊,141.215811,45.244415
字栄町,利尻郡利尻富士町,205-2,鴛泊,141.215683,45.244213
字栄町,利尻郡利尻富士町,284-1,鴛泊,141.216143,45.24394
字栄町,利尻郡利尻富士町,229,鴛泊,141.215726,45.243771
字栄町,利尻郡利尻富士町,205-10,鴛泊,141.216344,45.244056
字栄町,利尻郡利尻富士町,205-11,鴛泊,141.216555,45.243989
字栄町,利尻郡利尻富士町,205-1,鴛泊,141.216766,45.243921
字栄町,利尻郡利尻富士町,205-14,鴛泊,141.216843,45.244041
字栄町,利尻郡利尻富士町,206-1,鴛泊,141.217335,45.243704
字栄町,利尻郡利尻富士町,206-3,鴛泊,141.217064,45.243791
字栄町,利尻郡利尻富士町,228,鴛泊,141.216881,45.24362
字栄町,利尻郡利尻富士町,227-17,鴛泊,141.217036,45.243421
字栄町,利尻郡利尻富士町,227-25,鴛泊,141.217299,45.243248
字栄町,利尻郡利尻富士町,227-21,鴛泊,141.217395,45.243397
字栄町,利尻郡利尻富士町,227-19,鴛泊,141.217536,45.243496
字栄町,利尻郡利尻富士町,227-22,鴛泊,141.217589,45.243335
字栄町,利尻郡利尻富士町,227-23,鴛泊,141.217783,45.243273
字栄町,利尻郡利尻富士町,207,鴛泊,141.217986,45.243667
字栄町,利尻郡利尻富士町,328,鴛泊,141.21786,45.244003
字栄町,利尻郡利尻富士町,199-2,鴛泊,141.217956,45.244152
字栄町,利尻郡利尻富士町,199-1,鴛泊,141.218089,45.244361
字栄町,利尻郡利尻富士町,200-5,鴛泊,141.217836,45.244442
字栄町,利尻郡利尻富士町,200-2,鴛泊,141.217576,45.244274
字栄町,利尻郡利尻富士町,200-3,鴛泊,141.217744,45.244219
字栄町,利尻郡利尻富士町,205-20,鴛泊,141.216909,45.244145
字栄町,利尻郡利尻富士町,201-1,鴛泊,141.217037,45.244445
字栄町,利尻郡利尻富士町,200-1,鴛泊,141.217407,45.244327
字栄町,利尻郡利尻富士町,327,鴛泊,141.217426,45.244635
字栄町,利尻郡利尻富士町,201-5,鴛泊,141.21725,45.244628
字栄町,利尻郡利尻富士町,201-4,鴛泊,141.217092,45.244679
字栄町,利尻郡利尻富士町,201-10,鴛泊,141.216934,45.244729
字栄町,利尻郡利尻富士町,161-4,鴛泊,141.217734,45.244788
字栄町,利尻郡利尻富士町,200-4,鴛泊,141.217582,45.244523
字栄町,利尻郡利尻富士町,161-7,鴛泊,141.21811,45.244692
字栄町,利尻郡利尻富士町,161-6,鴛泊,141.217947,45.244765
字栄町,利尻郡利尻富士町,161-1,鴛泊,141.218339,45.24487
字栄町,利尻郡利尻富士町,163-1,鴛泊,141.218647,45.244757
字栄町,利尻郡利尻富士町,163-2,鴛泊,141.218514,45.244548
字栄町,利尻郡利尻富士町,161-8,鴛泊,141.2183,45.244632
字栄町,利尻郡利尻富士町,329,鴛泊,141.218185,45.24451
字栄町,利尻郡利尻富士町,198-1,鴛泊,141.218343,45.24428
字栄町,利尻郡利尻富士町,197-1,鴛泊,141.218479,45.244012
字栄町,利尻郡利尻富士町,197-2,鴛泊,141.218669,45.244234
字栄町,利尻郡利尻富士町,164-1,鴛泊,141.218764,45.244463
字栄町,利尻郡利尻富士町,335,鴛泊,141.218835,45.244216
字栄町,利尻郡利尻富士町,168-3,鴛泊,141.219297,45.244334
字栄町,利尻郡利尻富士町,165-1,鴛泊,141.219102,45.244397
字栄町,利尻郡利尻富士町,168-14,鴛泊,141.219393,45.244606
字栄町,利尻郡利尻富士町,165-2,鴛泊,141.219235,45.244606
字栄町,利尻郡利尻富士町,164-2,鴛泊,141.218853,45.244602
字栄町,利尻郡利尻富士町,164-3,鴛泊,141.218942,45.244741
字栄町,利尻郡利尻富士町,153-1,鴛泊,141.219392,45.244855
字栄町,利尻郡利尻富士町,153-10,鴛泊,141.219549,45.244849
字栄町,利尻郡利尻富士町,168-13,鴛泊,141.219516,45.244515
字栄町,利尻郡利尻富士町,337,鴛泊,141.219901,45.244573
字栄町,利尻郡利尻富士町,153-15,鴛泊,141.219989,45.244672
字栄町,利尻郡利尻富士町,153-14,鴛泊,141.219883,45.244758
字栄町,利尻郡利尻富士町,153-11,鴛泊,141.219734,45.244838
字栄町,利尻郡利尻富士町,153-6,鴛泊,141.220235,45.244891
字栄町,利尻郡利尻富士町,153-8,鴛泊,141.220429,45.24483
字栄町,利尻郡利尻富士町,153-5,鴛泊,141.220649,45.244797
字栄町,利尻郡利尻富士町,153-7,鴛泊,141.220585,45.24466
字栄町,利尻郡利尻富士町,153-16,鴛泊,141.220526,45.244515
字栄町,利尻郡利尻富士町,153-17,鴛泊,141.220379,45.244566
字栄町,利尻郡利尻富士町,153-3,鴛泊,141.220204,45.244656
字栄町,利尻郡利尻富士町,168-8,鴛泊,141.220109,45.244291
字栄町,利尻郡利尻富士町,168-4,鴛泊,141.220299,45.244353
字栄町,利尻郡利尻富士町,168-5,鴛泊,141.220235,45.244129
字栄町,利尻郡利尻富士町,168-1,鴛泊,141.220335,45.244224
字栄町,利尻郡利尻富士町,168-7,鴛泊,141.219975,45.244082
字栄町,利尻郡利尻富士町,168-10,鴛泊,141.219771,45.244185
字栄町,利尻郡利尻富士町,168-9,鴛泊,141.219973,45.24437
字栄町,利尻郡利尻富士町,168-2,鴛泊,141.219826,45.244417
字栄町,利尻郡利尻富士町,168-12,鴛泊,141.219682,45.244463
字栄町,利尻郡利尻富士町,168-11,鴛泊,141.21953,45.24426
字栄町,利尻郡利尻富士町,288-1,鴛泊,141.219576,45.244066
字栄町,利尻郡利尻富士町,196,鴛泊,141.219414,45.243813
字栄町,利尻郡利尻富士町,168-6,鴛泊,141.220174,45.244016
字栄町,利尻郡利尻富士町,170-1,鴛泊,141.220547,45.243954
字栄町,利尻郡利尻富士町,342,鴛泊,141.220079,45.243541
字栄町,利尻郡利尻富士町,194-3,鴛泊,141.220366,45.243634
字栄町,利尻郡利尻富士町,195-1,鴛泊,141.220682,45.243533
字栄町,利尻郡利尻富士町,194-1,鴛泊,141.220581,45.243315
字栄町,利尻郡利尻富士町,194-4,鴛泊,141.220264,45.243416
字栄町,利尻郡利尻富士町,209-1,鴛泊,141.219127,45.243362
字栄町,利尻郡利尻富士町,289,鴛泊,141.219252,45.243559
字栄町,利尻郡利尻富士町,198-2,鴛泊,141.218209,45.244071
字栄町,利尻郡利尻富士町,225,鴛泊,141.219019,45.242622
字栄町,利尻郡利尻富士町,336,鴛泊,141.218929,45.243052
字栄町,利尻郡利尻富士町,209-2,鴛泊,141.218994,45.243153
字栄町,利尻郡利尻富士町,211-2,鴛泊,141.219921,45.242879
字栄町,利尻郡利尻富士町,344,鴛泊,141.220643,45.243115
字栄町,利尻郡利尻富士町,212,鴛泊,141.220608,45.242821
字栄町,利尻郡利尻富士町,211-1,鴛泊,141.220081,45.243079
字栄町,利尻郡利尻富士町,343,鴛泊,141.22032,45.242608
字栄町,利尻郡利尻富士町,223,鴛泊,141.219736,45.242489
字栄町,利尻郡利尻富士町,222,鴛泊,141.220242,45.242328
字栄町,利尻郡利尻富士町,220-1,鴛泊,141.220668,45.242213
字栄町,利尻郡利尻富士町,221-1,鴛泊,141.220542,45.242055
字栄町,利尻郡利尻富士町,224-3,鴛泊,141.220268,45.241844
字栄町,利尻郡利尻富士町,220-2,鴛泊,141.219914,45.241454
字栄町,利尻郡利尻富士町,269-1,鴛泊,141.219853,45.24157
字栄町,利尻郡利尻富士町,224-1,鴛泊,141.22001,45.241922
字栄町,利尻郡利尻富士町,227-16,鴛泊,141.219739,45.241759
字栄町,利尻郡利尻富士町,227-29,鴛泊,141.219231,45.242261
字栄町,利尻郡利尻富士町,227-18,鴛泊,141.217922,45.242626
字栄町,利尻郡利尻富士町,227-5,鴛泊,141.218249,45.241582
字栄町,利尻郡利尻富士町,227-30,鴛泊,141.217944,45.242991
字栄町,利尻郡利尻富士町,227-24,鴛泊,141.217978,45.243211
字栄町,利尻郡利尻富士町,227-28,鴛泊,141.21788,45.243064
字栄町,利尻郡利尻富士町,227-27,鴛泊,141.217688,45.243124
字栄町,利尻郡利尻富士町,227-26,鴛泊,141.217493,45.243185
字栄町,利尻郡利尻富士町,227-20,鴛泊,141.21669,45.243495
