小字名,市区町村名,地番,大字名,center_lng,center_lat
字荷負,沙流郡平取町,365-2,,142.224155,42.66912
字荷負,沙流郡平取町,364-1,,142.225691,42.670302
字荷負,沙流郡平取町,364-2,,142.221403,42.670292
字荷負,沙流郡平取町,365-5,,142.222127,42.669968
字荷負,沙流郡平取町,149-1,,142.222713,42.669973
字荷負,沙流郡平取町,370,,142.222047,42.669931
字荷負,沙流郡平取町,371,,142.221642,42.669862
字荷負,沙流郡平取町,367-2,,142.221731,42.670076
字荷負,沙流郡平取町,149-8,,142.221808,42.670254
字荷負,沙流郡平取町,148-12,,142.221372,42.670339
字荷負,沙流郡平取町,148-11,,142.221266,42.670352
字荷負,沙流郡平取町,372-3,,142.221077,42.670235
字荷負,沙流郡平取町,148-15,,142.221156,42.670404
字荷負,沙流郡平取町,372-2,,142.220488,42.6707
字荷負,沙流郡平取町,372-1,,142.220369,42.670404
字荷負,沙流郡平取町,無地番-2022,,142.220577,42.670028
字荷負,沙流郡平取町,無地番-2026,,142.221497,42.669615
字荷負,沙流郡平取町,長狭物不明-2065,,142.221292,42.669155
字荷負,沙流郡平取町,735-2,,142.219949,42.66847
字荷負,沙流郡平取町,373,,142.219134,42.670511
字荷負,沙流郡平取町,水-2007,,142.218321,42.669777
字荷負,沙流郡平取町,144-7,,142.22018,42.671041
字荷負,沙流郡平取町,144-8,,142.220212,42.671005
字荷負,沙流郡平取町,374-3,,142.220081,42.671066
字荷負,沙流郡平取町,318-2,,142.219845,42.671245
字荷負,沙流郡平取町,144-6,,142.219711,42.671403
字荷負,沙流郡平取町,148-3,,142.220163,42.671417
字荷負,沙流郡平取町,148-16,,142.220192,42.671309
字荷負,沙流郡平取町,148-2,,142.22004,42.671773
字荷負,沙流郡平取町,148-14,,142.219752,42.671785
字荷負,沙流郡平取町,143-15,,142.219633,42.671567
字荷負,沙流郡平取町,143-14,,142.219595,42.671531
字荷負,沙流郡平取町,143-7,,142.219487,42.671598
字荷負,沙流郡平取町,148-13,,142.219688,42.671855
