小字名,QGIS_ID,地番,version,大字名,市町村C,測地判別,予備名,丁目名,市町村名,center_lng,center_lat
None,01515国有地-49-2,国有地-49-2,ver1.0,None,01515,変換,None,None,枝幸郡歌登町,142.368581,44.181744
None,0151548-260,48-260,ver1.0,None,01515,変換,None,None,枝幸郡歌登町,142.199471,44.915568
