Rosen_Code,Rosen_Name
"00000100018003","上信越自動車道（複線０３）"
"00000100018004","上信越自動車道（複線０４）"
"00000100019000","日本海東北自動車道"
"00000100019001","日本海沿岸東北自動車道"
"00000100019002","日本海東北自動車道"
"00000100019003","日本海沿岸東北自動車道（複線０３）"
"00000100019004","日本海沿岸東北自動車道（複線０４）"
"00000100019005","日本海東北自動車道（複線５）"
"00000100019031","日本海沿岸東北自動車道（複線３１）"
"00000100019032","日本海沿岸東北自動車道（複線３２）"
"00000100020000","中部横断自動車道"
"00000100020001","中部横断自動車道（複線０１）"
"00000100020002","中部横断自動車道"
"00000100020003","中部横断自動車道"
"00000100020004","中部横断自動車道"
"00000100020005","中部横断自動車道"
"00000100020006","中部横断自動車道"
"00000100020007","中部横断自動車道"
"00000100020008","中部横断自動車道"
"00000100020009","中部横断自動車道"
"00000100020010","中部横断自動車道"
"00000100020011","中部横断自動車道"
"00000100021000","関門橋"
"00000100022000","広島自動車道"
"00000100023000","米子自動車道"
"00000100024000","岡山自動車道"
"00000100024011","中国自動車道（複線１１号）"
"00000100025000","浜田自動車道"
"00000100026000","釜石自動車道"
"00000100026001","釜石自動車道"
"00000100027000","東北中央自動車道"
"00000100027001","高速自動車国道（複線０１）"
"00000100027002","東北中央自動車道"
"00000100028000","播磨自動車道"
"00000100028001","中国横断自動車道姫路鳥取線"
"00000100028002","中国横断自動車道姫路鳥取線（複線０２"
"00000100028003","中国横断自動車道姫路鳥取線"
"00000100028004","中国横断自動車道姫路鳥取線（複線０４"
"00000100029000","松江自動車道"
"00000100030000","青森自動車道"
"00000100031000","中国横断自動車道尾道松江線"
"00000100031001","中国横断自動車道尾道松江線"
"00000100032000","宮崎自動車道"
"00000100032001","宮崎自動車道　都城ＩＣランプ部"
"00000100033000","東九州自動車道"
"00000100033001","東九州自動車道（複線０１）"
"00000100033002","東九州自動車道（複線０２）"
"00000100033003","東九州自動車道（複線０３）"
"00000100033004","東九州自動車道（複線０４）"
"00000100033005","東九州自動車道（複線０５）"
"00000100033006","東九州自動車道"
"00000100033007","東九州自動車道（複線０７）"
"00000100033008","東九州自動車道（複線０８）"
"00000100033009","東九州自動車道（複線０９）"
"00000100033010","東九州自動車道"
"00000100033011","東九州自動車道　宮崎西ＩＣランプ部"
"00000100033012","東九州自動車国道"
"00000100033013","東九州自動車道"
"00000100033014","東九州自動車国道"
"00000100033015","東九州自動車道　大分米良ＩＣランプ部"
