Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,Hankei,Kudari,Nobori,Kudari_Nobori,Mawari,Kudari_J11,Nobori_J11,Kudari_J12,Nobori_J12,Kudari_J13,Nobori_J13,Kudari_J21,Nobori_J21,Kudari_J22,Nobori_J22,Kudari_J23,Nobori_J23,Kudari_J31,Nobori_J31,Kudari_J32,Nobori_J32,Kudari_J33,Nobori_J33,Kudari_J4,Nobori_J4,Chisaki_Knj
200038000,4840,6443150025,6443260002,4.8400002,2,0.074000001,200.0,3.5,3.5,0.0,1,1,1,2,2,3,3,1,1,2,2,3,3,1,1,1,1,3,3,1,1,浦幌町浦幌トンネル出口
200038000,7809,6442640003,6442640008,7.809,2,0.29699999,100.0,4.25,4.25,0.0,0,1,1,1,1,3,3,1,1,1,1,2,2,1,1,1,1,1,1,1,1,富良野市三ノ山
200038000,8411,6442550005,6442560002,8.4110003,2,0.057999998,100.0,3.25,3.25,0.0,1,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,南富良野町狩勝峠
200038001,7013,6444431328,6444440069,7.013,1,0.075000003,50.0,3.5,3.5,0.0,0,5,5,5,5,5,5,5,5,5,5,5,5,3,3,5,5,5,5,3,3,釧路町字別保
200044000,0,6444460011,6445500006,0.0,2,0.139,200.0,3.25,3.25,0.0,1,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,厚岸町宮園町１８６－２
200044000,0,6444331654,6444331655,0.0,2,0.111,100.0,3.5,3.5,0.0,0,3,3,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,釧路町字別保南２４線４０－２
200039000,0,6644020383,6644020387,0.0,2,0.0089999996,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,網走市北６条西６丁目
200039000,43,6644020380,664402F001,0.043000001,2,0.043000001,70.0,3.25,3.25,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,1,1,網走市新町
200039000,267,6644020381,6644020383,0.26699999,2,0.033,100.0,3.25,3.25,0.0,0,3,3,3,3,3,3,2,2,3,3,3,3,2,2,3,3,3,3,1,1,網走市北６条西７丁目
200039000,270,6644020395,6644020396,0.27000001,2,0.046999998,150.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,網走市南１東１丁目
200039000,2791,6543310005,6543430003,2.7909999,1,0.045000002,50.0,3.5,6.5,0.0,1,5,2,5,2,5,2,5,2,5,2,5,2,3,1,5,2,5,2,3,1,北見市富士見
200039000,4313,6544710032,6644010012,4.3130002,2,0.14300001,200.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,2,2,3,3,1,1,網走市大曲
200039000,4981,6542640010,6542640039,4.9809999,2,0.23,150.0,3.25,3.25,0.0,0,2,2,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,1,1,比布町２５０３番地
200039000,23733,6542560010,6543400009,23.733,2,0.152,110.0,3.0,3.0,0.0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,2,2,上川町字層雲峡
200039005,0,6544610134,6544600084,0.0,1,0.25,50.0,3.25,4.0,0.0,0,5,5,5,5,5,5,5,3,5,5,5,5,5,3,5,3,5,5,3,3,美幌町字瑞治
