Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,Kudari,Nobori,Kudari_Nobori,Seigen_Left,Seigen_Right,Chisaki_Knj
100005003,0,6441540143,6441540145,0.0,2,0.26499999,3.5,3.5,0.0,0,0,江別市江別太
100052000,0,6444510119,644441F003,0.0,1,9.9230003,3.5,3.5,0.0,0,0,釧路市下舌辛
100052000,7898,644441F003,6444421943,7.8979998,1,0.048999999,3.25,3.25,0.0,0,0,釧路市山花
100052002,0,6443470013,6443470028,0.0,1,0.207,3.25,3.25,0.0,0,0,白糠町茶路１１１
100052003,0,6543450195,6543450206,0.0,1,1.0700001,3.25,3.25,0.0,0,0,訓子府町字清住・末広
200001000,0,5339469019,5339466704,0.0,1,0.131,9.0,9.0,0.0,0,0,中央区日本橋二丁目
200005000,0,6240552119,6240552696,0.0,2,0.30000001,6.5,6.5,0.0,0,0,函館市若松町
200005000,0,6240552515,6240552516,0.0,2,0.207,6.5,6.5,0.0,0,0,函館市亀田町
200005000,0,6240552516,6240553265,0.0,2,0.359,6.5,6.5,0.0,0,0,函館市亀田町１５６番地
200005000,0,6240552551,6240650517,0.0,2,1.513,3.75,3.75,0.0,0,0,函館市桔梗町６２－１
200005000,0,6240552579,6240552584,0.0,1,0.155,6.5,6.5,0.0,0,0,函館市昭和４丁目
200005000,0,6240552584,6240552551,0.0,2,0.588,3.75,3.75,0.0,0,0,函館市昭和３丁目
200005000,0,6240552705,6240552706,0.0,2,0.16500001,6.0,6.0,0.0,0,0,函館市海岸町
200005000,0,6240552706,6240552708,0.0,2,0.13500001,6.0,6.0,0.0,0,0,函館市万代町
200005000,0,6240552708,6240552712,0.0,2,0.37099999,6.0,6.0,0.0,0,0,函館市万代町
200005000,0,6240552712,6240552716,0.0,2,0.315,6.5,6.5,0.0,0,0,函館市万代町２０５－１
200005000,0,6240552716,6240552720,0.0,2,0.28600001,6.5,6.5,0.0,0,0,函館市亀田町４
200005000,0,6240552720,6240552515,0.0,2,0.333,6.5,6.5,0.0,0,0,函館市亀田町６－３２
200005000,0,6240552762,6240552579,0.0,2,0.229,6.5,6.5,0.0,0,0,函館市昭和三丁目６
200005000,0,6240552778,6240552762,0.0,2,0.68599999,6.5,6.5,0.0,0,0,函館市昭和２丁目２０２－８
200005000,0,6240553265,6240552778,0.0,2,0.71100003,6.5,6.5,0.0,0,0,函館市亀田本町４６
200005000,0,6240650032,6240650364,0.0,2,0.25299999,3.25,3.25,0.0,0,0,七飯町本町五丁目
200005000,0,6240650034,6240650032,0.0,2,0.824,3.25,3.25,0.0,0,0,七飯町本町
200005000,0,6240650040,6240650401,0.0,2,0.68300003,3.5,3.5,0.0,0,0,七飯町大川
200005000,0,6240650221,6240650040,0.0,2,1.98,3.75,3.75,0.0,0,0,函館市桔梗町９９
200005000,0,6240650364,6240750125,0.0,2,0.44800001,3.25,3.25,0.0,0,0,七飯町字桜町６７９－４４番地
200005000,0,6240650401,6240650192,0.0,2,0.296,3.5,3.5,0.0,0,0,七飯町大中山
200005000,0,6240650496,6240650221,0.0,2,0.51700002,3.75,3.75,0.0,0,0,函館市桔梗３丁目３０５番１地先
200005000,0,6240650497,6240650496,0.0,2,0.054000001,3.75,3.75,0.0,0,0,函館市桔梗町３丁目２９８番７地先
200005000,0,6240650517,6240650497,0.0,2,0.54699999,3.75,3.75,0.0,0,0,函館市桔梗２丁目４１８番４１４地先
200005000,0,6240750004,6340050006,0.0,2,0.78100002,3.25,3.25,0.0,0,0,森町赤井川
200005000,0,6240750082,6240750108,0.0,2,0.64700001,3.25,3.25,0.0,0,0,七飯町古小沼３２－１
200005000,0,6240750094,6240750181,0.0,1,0.148,7.0,7.0,0.0,0,0,七飯町峠下
200005000,0,6240750108,6240750004,0.0,2,0.67199999,3.25,3.25,0.0,0,0,七飯町字赤井川
200005000,0,6240750125,6240750094,0.0,1,0.82700002,7.0,7.0,0.0,0,0,七飯町藤城
200005000,0,6240750181,6240750098,0.0,1,0.89200002,7.0,7.0,0.0,0,0,七飯町字峠下８０－２番地
200005000,0,6340040006,6340040049,0.0,2,1.072,3.25,3.25,0.0,0,0,森町字白川
200005000,0,6340040035,6340040006,0.0,2,4.9070001,3.25,3.25,0.0,0,0,森町字駒ケ岳
200005000,0,6340040049,6340140011,0.0,2,1.215,3.5,3.5,0.0,0,0,森町字姫川２８－２番地先
200005000,0,6340050006,6340040035,0.0,2,4.2989998,3.25,3.25,0.0,0,0,森町赤井川８２
200005000,0,6340130010,6340230071,0.0,2,5.77,3.25,3.25,0.0,0,0,森町字富士見町
200005000,0,6340140007,6340140002,0.0,2,0.741,3.25,3.25,0.0,0,0,森町字上台町３２６－９１
200005000,0,6340140011,6340140038,0.0,2,0.40599999,3.25,3.25,0.0,0,0,森町森川町２９２
200005000,0,6340140038,6340140007,0.0,2,0.292,3.25,3.25,0.0,0,0,森町字森川町２９６
200005000,0,6340220017,6340220086,0.0,2,0.40099999,7.0,7.0,0.0,0,0,八雲町内浦町２１３番３
200005000,0,6340220084,6340220126,0.0,1,0.088,7.0,7.0,0.0,0,0,八雲町内浦町１６０
200005000,0,6340220086,6340220084,0.0,1,0.32600001,7.0,7.0,0.0,0,0,八雲町東雲町１８－１
200005000,0,6340220126,6340320128,0.0,1,0.207,7.0,7.0,0.0,0,0,八雲町東雲町１７番３７地先
200005000,0,634022F004,6340220017,0.0,2,1.802,3.25,3.25,0.0,0,0,八雲町浜松２００－１
200005000,0,6340230007,634022F004,0.0,2,6.1550002,3.25,3.25,0.0,0,0,八雲町落部２５８
200005000,0,6340230009,6340230020,0.0,2,3.25,3.25,3.25,0.0,0,0,八雲町落部
200005000,0,6340230020,6340230007,0.0,2,1.487,3.25,3.25,0.0,0,0,八雲町落部
200005000,0,6340230071,6340230009,0.0,1,0.97899997,7.0,7.0,0.0,0,0,八雲町落部
200005000,0,6340320098,6340320155,0.0,2,1.205,3.25,3.25,0.0,0,0,八雲町花浦９４番１
200005000,0,6340320113,6340320117,0.0,1,0.37099999,7.0,7.0,0.0,0,0,八雲町東雲町６番２６地先
200005000,0,6340320117,6340320120,0.0,1,0.37099999,7.0,7.0,0.0,0,0,八雲町豊河町３４－２５
200005000,0,6340320120,6340320122,0.0,1,0.65499997,7.0,7.0,0.0,0,0,八雲町豊河町２５番地
200005000,0,6340320122,6340320098,0.0,1,1.258,7.0,7.0,0.0,0,0,八雲町字立岩
200005000,0,6340320128,6340320113,0.0,1,0.40799999,7.0,7.0,0.0,0,0,八雲町内浦町１２８
200005000,0,6340320142,6340420012,0.0,2,6.2989998,3.0,3.0,0.0,0,0,八雲町山崎
200005000,0,6340320152,6340320142,0.0,2,1.272,3.25,3.25,0.0,0,0,八雲町山崎
200005000,0,6340320155,6340320152,0.0,2,2.095,3.25,3.25,0.0,0,0,八雲町花浦８７
200005000,0,6340420012,6340420014,0.0,2,3.418,3.0,3.0,0.0,0,0,八雲町黒岩
200005000,0,6340420014,6340520067,0.0,2,3.8670001,3.0,3.0,0.0,0,0,八雲町字豊津
200005000,0,6340520012,6340630054,0.0,2,1.127,3.5,3.5,0.0,0,0,長万部町字大浜
200005000,0,6340520067,6340520003,0.0,2,0.583,3.0,3.0,0.0,0,0,八雲町字国縫
200005000,0,634062F001,6340720008,0.0,2,6.368,2.75,2.75,0.0,0,0,長万部町字長万部
200005000,0,6340630054,6340630058,0.0,2,0.67299998,3.5,3.5,0.0,0,0,長万部町大町８－２
200005000,0,6340630058,6340630033,0.0,2,0.66500002,3.5,3.5,0.0,0,0,長万部町字大浜
200005000,0,6340720013,6340720014,0.0,2,0.37599999,2.75,2.75,0.0,0,0,黒松内町字豊幌
200005000,0,6340720014,6440030003,0.0,2,1.063,2.75,2.75,0.0,0,0,黒松内町字豊幌
200005000,0,6440030007,6440130015,0.0,2,0.542,2.75,2.75,0.0,0,0,蘭越町字讃岐
200005000,0,6440030013,644003F001,0.0,2,0.162,2.75,2.75,0.0,0,0,黒松内町字大谷地
200005000,0,6440130015,6440140020,0.0,2,1.867,3.25,3.25,0.0,0,0,蘭越町字大谷
200005000,0,6440140027,6440140031,0.0,2,0.30500001,3.25,3.25,0.0,0,0,ニセコ町字西富
200005000,0,6440140031,6440150028,0.0,2,6.2880001,3.25,3.25,0.0,0,0,ニセコ町字昆布１６３
200005000,0,6440150028,6440150110,0.0,2,3.881,3.25,3.25,0.0,0,0,ニセコ町字富川
200005000,0,6440150110,6440250076,0.0,2,1.256,3.25,3.25,0.0,0,0,ニセコ町字元町
200005000,0,6440260039,6440260042,0.0,2,0.078000002,3.25,3.25,0.0,0,0,倶知安町字高砂
200005000,0,6440260057,6440260061,0.0,2,0.42699999,3.25,3.25,0.0,0,0,倶知安町北三条西一丁目１３
200005000,0,6440260176,6440260178,0.0,2,0.30000001,6.5,6.5,0.0,0,0,倶知安町南１１条西１丁目
200005000,0,6440260178,6440260181,0.0,2,0.70899999,6.5,6.5,0.0,0,0,倶知安町南１１条西１丁目
200005000,0,6440260181,6440260183,0.0,2,0.178,6.5,6.5,0.0,0,0,倶知安町南４条西１丁目
200005000,0,6440260183,6440260184,0.0,2,0.102,6.5,6.5,0.0,0,0,倶知安町南４条西１丁目
200005000,0,6440260184,6440260057,0.0,2,0.28,6.5,6.5,0.0,0,0,倶知安町北３条西１丁目
200005000,0,6440350010,6440450011,0.0,2,1.375,3.25,3.25,0.0,0,0,共和町字国富
200005000,0,6440560014,6440660063,0.0,2,1.5549999,3.25,3.25,0.0,0,0,仁木町北町十丁目
200005000,0,6440560046,6440560014,0.0,2,4.6149998,3.25,3.25,0.0,0,0,仁木町南町７丁目
200005000,0,6440660063,6440660079,0.0,2,0.086999997,3.5,3.5,0.0,0,0,余市町黒川町
200005000,0,6440660079,6440660191,0.0,2,0.25,3.5,3.5,0.0,0,0,余市町黒川町
200005000,0,6440660103,6440660245,0.0,2,2.4260001,3.25,3.25,0.0,0,0,余市町大川町七丁目３３
200005000,0,6440660245,6440660247,0.0,2,1.222,3.25,3.25,0.0,0,0,余市町栄町３７
200005000,0,6440670607,6440670660,0.0,1,0.098999999,6.5,6.5,0.0,0,0,小樽市稲穂５丁目
200005000,0,6440670625,6440670624,0.0,1,0.20100001,6.5,6.5,0.0,0,0,小樽市長橋５丁目
200005000,0,6440670716,6440670642,0.0,1,1.345,7.0,7.0,0.0,0,0,小樽市塩谷二丁目１１
200005000,0,6441423128,6441426548,0.0,1,0.38999999,9.75,9.75,0.0,0,0,札幌市札幌市北区
200005000,0,6441423298,6441423329,0.0,2,0.398,9.75,9.75,0.0,0,0,札幌市東区北１３条東１丁目
200005000,0,6441423329,6441423346,0.0,1,0.132,9.75,9.75,0.0,0,0,札幌市東区北１３条東１丁目
200005000,0,6441423330,6441425993,0.0,1,0.12899999,13.0,13.0,0.0,0,0,札幌市北区北８条西１丁目
200005000,0,6441423346,6441423330,0.0,2,0.131,9.75,9.75,0.0,0,0,札幌市北八条西一丁目１
200005000,0,6441423381,6441423394,0.0,1,0.185,13.0,13.0,0.0,0,0,札幌市北区北７条西１丁目
200005000,0,6441423389,6441423401,0.0,2,0.133,9.75,9.75,0.0,0,0,札幌市北三条東一丁目２
200005000,0,6441423394,6441423389,0.0,2,0.126,9.75,9.75,0.0,0,0,札幌市中央区北５条西１丁目
200005000,0,6441423401,6441423436,0.0,1,0.124,6.5,6.5,0.0,0,0,札幌市北三条西一丁目１１
200005000,0,6441423436,6441426234,0.0,1,0.126,6.5,6.5,0.0,0,0,札幌市北一条東一丁目２
200005000,0,6441425993,6441423381,0.0,1,0.083999999,13.0,13.0,0.0,0,0,札幌市北区北７条西１丁目
200005000,0,6441426548,6441423298,0.0,1,0.236,9.75,9.75,0.0,0,0,札幌市北区北１５条東１丁目
200005000,0,6441510013,6441510014,0.0,2,0.29800001,6.5,6.5,0.0,0,0,小樽市新光三丁目
200005000,0,6441510213,6441511147,0.0,2,0.32600001,6.5,6.5,0.0,0,0,小樽市銭函３丁目
200005000,0,6441511142,6441511046,0.0,2,0.41499999,6.5,6.5,0.0,0,0,小樽市銭函３丁目
200005000,0,6441511143,6441511142,0.0,2,0.252,6.5,6.5,0.0,0,0,小樽市銭函２丁目
200005000,0,6441511147,6441511268,0.0,2,0.278,6.5,6.5,0.0,0,0,小樽市星置町
200005000,0,6441511151,6441511156,0.0,1,0.49399999,6.5,6.5,0.0,0,0,小樽市稲穂二条八丁目５
200005000,0,6441511156,6441511166,0.0,2,1.614,6.5,6.5,0.0,0,0,札幌市手稲区稲穂３条７丁目
200005000,0,6441511166,6441511169,0.0,2,0.43599999,6.5,6.5,0.0,0,0,札幌市稲穂二条二丁目１
200005000,0,6441511169,6441511176,0.0,2,0.64399999,6.5,6.5,0.0,0,0,札幌市手稲区手稲本町
200005000,0,6441511176,6441511182,0.0,2,0.458,6.5,6.5,0.0,0,0,札幌市手稲区手稲本町
200005000,0,6441511182,6441526015,0.0,2,0.55699998,6.5,6.5,0.0,0,0,札幌市手稲区富丘
200005000,0,6441511184,6441511143,0.0,2,0.206,6.5,6.5,0.0,0,0,小樽市銭函２丁目
200005000,0,6441511268,6441511151,0.0,2,0.87,6.5,6.5,0.0,0,0,小樽市星置町
