S_Kosaten,E_Kosaten,Shitei,Kubun,Fukuin,Jyoukuu,Kyokusen,Kyoryo,Spncho,KanrishaCode,Yuryo_No,TsukoKiseiCount,TsukoKisei,Kosoku_Santei_K,Yudo,Fuyo,Line
623937F001,623937F003,0,3,1,0,1,0,0.44400001,201331,0,0,,0.0,0,0,"[{'Lat': 41.5982056034099, 'Lon': 139.986637632307}, {'Lat': 41.5982555906061, 'Lon': 139.98641681657}, {'Lat': 41.5983597419927, 'Lon': 139.986329318964}, {'Lat': 41.5985305532536, 'Lon': 139.986283480574}, {'Lat': 41.5989346677031, 'Lon': 139.986175135269}, {'Lat': 41.5991138093773, 'Lon': 139.986066802175}, {'Lat': 41.5995887406881, 'Lon': 139.985700143452}, {'Lat': 41.5997553841296, 'Lon': 139.985600143603}, {'Lat': 41.6002719784665, 'Lon': 139.985279311735}, {'Lat': 41.6005886028653, 'Lon': 139.985150139762}, {'Lat': 41.6006885879616, 'Lon': 139.985058476098}, {'Lat': 41.6007760744428, 'Lon': 139.98496264683}, {'Lat': 41.6008677240283, 'Lon': 139.984766826533}, {'Lat': 41.6009760397928, 'Lon': 139.984621000734}, {'Lat': 41.6011426814499, 'Lon': 139.984462672918}, {'Lat': 41.6012718266251, 'Lon': 139.984271016869}, {'Lat': 41.6013926315746, 'Lon': 139.983821051701}, {'Lat': 41.601488447195, 'Lon': 139.983621064896}, {'Lat': 41.6016259241854, 'Lon': 139.983412743262}, {'Lat': 41.6018133935964, 'Lon': 139.983154423513}]"
623937F002,6239370003,3,3,1,0,0,1,2.0,1040810032,0,0,,0.0,1,0,"[{'Lat': 41.6320726232226, 'Lon': 139.995964100653}, {'Lat': 41.6315185232477, 'Lon': 139.995951631939}, {'Lat': 41.6309935856435, 'Lon': 139.995914163938}, {'Lat': 41.6309269270458, 'Lon': 139.995914167563}, {'Lat': 41.6306061308865, 'Lon': 139.995860023327}, {'Lat': 41.6302728340717, 'Lon': 139.995735052953}, {'Lat': 41.629847878369, 'Lon': 139.995501764197}, {'Lat': 41.6296187368886, 'Lon': 139.995418450992}, {'Lat': 41.6294062614604, 'Lon': 139.995380965997}, {'Lat': 41.6290854663209, 'Lon': 139.995360152025}, {'Lat': 41.628752173587, 'Lon': 139.995368502715}, {'Lat': 41.6283605538145, 'Lon': 139.995351858876}, {'Lat': 41.6280772527331, 'Lon': 139.995285213748}, {'Lat': 41.6278231128751, 'Lon': 139.995156072784}, {'Lat': 41.6276356314875, 'Lon': 139.995022761912}, {'Lat': 41.6274314840476, 'Lon': 139.99484362283}, {'Lat': 41.6272356688048, 'Lon': 139.994660317011}, {'Lat': 41.627027355075, 'Lon': 139.994477011871}, {'Lat': 41.626802377971, 'Lon': 139.994335370471}, {'Lat': 41.6265399066809, 'Lon': 139.994235393942}, {'Lat': 41.6262857701385, 'Lon': 139.994214576342}, {'Lat': 41.6260066368768, 'Lon': 139.994202092668}, {'Lat': 41.6254317062138, 'Lon': 139.994193791359}, {'Lat': 41.6251442396068, 'Lon': 139.994147977871}, {'Lat': 41.6249650927116, 'Lon': 139.99408549336}, {'Lat': 41.6248276069301, 'Lon': 139.994006341451}, {'Lat': 41.6245859644111, 'Lon': 139.993839703254}, {'Lat': 41.6242026690556, 'Lon': 139.993564749391}, {'Lat': 41.6238652025064, 'Lon': 139.993323123304}, {'Lat': 41.6236943883185, 'Lon': 139.99327313719}, {'Lat': 41.6234485816773, 'Lon': 139.993173159752}, {'Lat': 41.6230402963606, 'Lon': 139.993127352828}, {'Lat': 41.6224403668087, 'Lon': 139.993056558622}, {'Lat': 41.6219779213804, 'Lon': 139.993010754643}, {'Lat': 41.6215196395642, 'Lon': 139.992881624768}, {'Lat': 41.6209197031258, 'Lon': 139.992585851259}, {'Lat': 41.619786490122, 'Lon': 139.992035963447}, {'Lat': 41.6185366210002, 'Lon': 139.991369426035}, {'Lat': 41.6179158526015, 'Lon': 139.991036157101}, {'Lat': 41.6174783967512, 'Lon': 139.990748707321}, {'Lat': 41.6171450949612, 'Lon': 139.990461251881}, {'Lat': 41.6162993414254, 'Lon': 139.989723865681}, {'Lat': 41.6157660619273, 'Lon': 139.989373926854}, {'Lat': 41.6153661033234, 'Lon': 139.989144803}]"
623937F003,623937F002,0,3,2,0,1,0,1.682,201331,0,0,,0.0,0,0,"[{'Lat': 41.6153661033234, 'Lon': 139.989144803}, {'Lat': 41.6153285968983, 'Lon': 139.988786504669}, {'Lat': 41.614032866718, 'Lon': 139.987032569767}, {'Lat': 41.6114456335806, 'Lon': 139.985520349445}, {'Lat': 41.6088667433444, 'Lon': 139.984353930162}, {'Lat': 41.6086500993287, 'Lon': 139.984237285993}, {'Lat': 41.6082084768059, 'Lon': 139.983933171288}, {'Lat': 41.6078710092363, 'Lon': 139.983658214911}, {'Lat': 41.6076918619571, 'Lon': 139.983583231538}, {'Lat': 41.6075002192491, 'Lon': 139.983608239645}, {'Lat': 41.6073127447427, 'Lon': 139.98369990806}, {'Lat': 41.6071336037081, 'Lon': 139.983829072572}, {'Lat': 41.6070127869086, 'Lon': 139.983891573383}, {'Lat': 41.6067294890089, 'Lon': 139.983929085317}, {'Lat': 41.6063753644356, 'Lon': 139.983904106845}, {'Lat': 41.6060462355626, 'Lon': 139.983837464183}, {'Lat': 41.6058587583794, 'Lon': 139.983841640645}, {'Lat': 41.6056212897956, 'Lon': 139.983929145491}, {'Lat': 41.6048797262585, 'Lon': 139.984366645512}, {'Lat': 41.60438812444, 'Lon': 139.984541656106}, {'Lat': 41.6041548211259, 'Lon': 139.984599996742}, {'Lat': 41.6039965073345, 'Lon': 139.984612504187}, {'Lat': 41.6037423690024, 'Lon': 139.9845333586}, {'Lat': 41.6034049051271, 'Lon': 139.984379224435}, {'Lat': 41.6030507746901, 'Lon': 139.984162596925}, {'Lat': 41.6023300120157, 'Lon': 139.98362101921}, {'Lat': 41.6020842002741, 'Lon': 139.983354390416}, {'Lat': 41.6018133935964, 'Lon': 139.983154423513}]"
6240100003,6240100006,0,3,1,1,0,0,0.54299998,201053,0,0,,0.0,0,0,"[{'Lat': 41.4211426260814, 'Lon': 140.088725342385}, {'Lat': 41.4212884447399, 'Lon': 140.088821159074}, {'Lat': 41.4216050850238, 'Lon': 140.089208606494}, {'Lat': 41.4218883893768, 'Lon': 140.089379408895}, {'Lat': 41.4221883583847, 'Lon': 140.089550210397}, {'Lat': 41.4223508443721, 'Lon': 140.089733518169}, {'Lat': 41.422463335249, 'Lon': 140.089879332074}, {'Lat': 41.4225841599815, 'Lon': 140.090075140949}, {'Lat': 41.4227133189514, 'Lon': 140.090333443648}, {'Lat': 41.4231049610067, 'Lon': 140.091075021242}, {'Lat': 41.4232382842304, 'Lon': 140.091270829441}, {'Lat': 41.4235007633683, 'Lon': 140.091624949502}, {'Lat': 41.4236299192823, 'Lon': 140.091783261362}, {'Lat': 41.4236799166852, 'Lon': 140.091895748358}, {'Lat': 41.4238798955994, 'Lon': 140.091995728408}, {'Lat': 41.4244006725573, 'Lon': 140.092208180843}, {'Lat': 41.4245464900699, 'Lon': 140.092266500965}, {'Lat': 41.4246923077097, 'Lon': 140.092328987371}, {'Lat': 41.4251464243926, 'Lon': 140.092487281698}]"
6240100004,6240100006,0,3,1,0,0,0,0.24600001,201331,0,0,,0.0,0,0,"[{'Lat': 41.424663069684, 'Lon': 140.089879213404}, {'Lat': 41.4247922221594, 'Lon': 140.089925035571}, {'Lat': 41.424958887809, 'Lon': 140.090549969319}, {'Lat': 41.4249755620146, 'Lon': 140.09086243979}, {'Lat': 41.4250130613083, 'Lon': 140.090987426315}, {'Lat': 41.4250713907838, 'Lon': 140.091091580291}, {'Lat': 41.425163051097, 'Lon': 140.091245727888}, {'Lat': 41.4251797188082, 'Lon': 140.091345717828}, {'Lat': 41.425188057503, 'Lon': 140.091554031624}, {'Lat': 41.425167230505, 'Lon': 140.091679021296}, {'Lat': 41.4251464243926, 'Lon': 140.092487281698}]"
6240100004,624010F001,3,3,1,0,0,0,0.85000002,1040810032,0,0,,0.0,1,0,"[{'Lat': 41.424663069684, 'Lon': 140.089879213404}, {'Lat': 41.4246880568609, 'Lon': 140.089558408116}, {'Lat': 41.4247088794022, 'Lon': 140.089287598473}, {'Lat': 41.4247713528841, 'Lon': 140.088666818647}, {'Lat': 41.4248255023156, 'Lon': 140.088316847792}, {'Lat': 41.4248921473096, 'Lon': 140.087871051709}, {'Lat': 41.4249796193021, 'Lon': 140.087300265956}, {'Lat': 41.4253794911794, 'Lon': 140.084687983743}, {'Lat': 41.4261542459845, 'Lon': 140.079725896642}]"
6240100006,6240100007,0,3,1,0,1,0,0.5,201053,0,0,,0.0,0,0,"[{'Lat': 41.4251464243926, 'Lon': 140.092487281698}, {'Lat': 41.4251714486285, 'Lon': 140.093378865326}, {'Lat': 41.4252006247647, 'Lon': 140.093803824816}, {'Lat': 41.4253423092271, 'Lon': 140.094945379248}, {'Lat': 41.4254548246858, 'Lon': 140.095895286147}, {'Lat': 41.4255048311321, 'Lon': 140.096303579374}, {'Lat': 41.425571500705, 'Lon': 140.096661876283}, {'Lat': 41.4259381708752, 'Lon': 140.098224213357}, {'Lat': 41.4259673397531, 'Lon': 140.098411694607}]"
6240100007,6240100018,0,3,1,0,0,0,0.2,201053,0,0,,0.0,0,0,"[{'Lat': 41.4259673397531, 'Lon': 140.098411694607}, {'Lat': 41.4261798448, 'Lon': 140.099415757815}, {'Lat': 41.4262631767359, 'Lon': 140.099699060696}, {'Lat': 41.4264131697116, 'Lon': 140.100061519393}, {'Lat': 41.4266006637657, 'Lon': 140.100607292605}]"
6240100007,6240100042,0,3,1,0,0,0,0.079999998,201053,0,0,,0.0,0,0,"[{'Lat': 41.4259673397531, 'Lon': 140.098411694607}, {'Lat': 41.425696541914, 'Lon': 140.098503367489}, {'Lat': 41.4255257322587, 'Lon': 140.098603367546}, {'Lat': 41.4254132476217, 'Lon': 140.098661701607}]"
6240100008,6240100007,0,3,1,0,0,0,0.25600001,201053,0,0,,0.0,0,0,"[{'Lat': 41.4259673397531, 'Lon': 140.098411694607}, {'Lat': 41.4261256515539, 'Lon': 140.098332526648}, {'Lat': 41.4263172933014, 'Lon': 140.098274188317}, {'Lat': 41.4264006164481, 'Lon': 140.098270017535}, {'Lat': 41.4264797753418, 'Lon': 140.098328341252}, {'Lat': 41.4266047685325, 'Lon': 140.09859914303}, {'Lat': 41.4267755941096, 'Lon': 140.099019928592}, {'Lat': 41.4268630925913, 'Lon': 140.099315730101}, {'Lat': 41.4269547604215, 'Lon': 140.099715688511}, {'Lat': 41.4272130963279, 'Lon': 140.100819740084}, {'Lat': 41.4272297651865, 'Lon': 140.100957226589}]"
6240100012,6240100019,3,3,1,0,1,3,1.204,1040810032,0,0,,0.0,1,0,"[{'Lat': 41.4276259366563, 'Lon': 140.113576882457}, {'Lat': 41.4276300940276, 'Lon': 140.113289408565}, {'Lat': 41.427642584236, 'Lon': 140.113018599365}, {'Lat': 41.4276759061552, 'Lon': 140.112776953034}, {'Lat': 41.4277425559826, 'Lon': 140.11248947577}, {'Lat': 41.4280216592631, 'Lon': 140.111518716293}, {'Lat': 41.4280549793985, 'Lon': 140.111218741973}, {'Lat': 41.4280591384267, 'Lon': 140.110985429788}, {'Lat': 41.4280258017264, 'Lon': 140.110743787057}, {'Lat': 41.4279674684262, 'Lon': 140.110514644531}, {'Lat': 41.4275966472355, 'Lon': 140.109448095589}, {'Lat': 41.4274841516409, 'Lon': 140.109148129142}, {'Lat': 41.4269508373254, 'Lon': 140.107664960471}, {'Lat': 41.4264008583575, 'Lon': 140.106181792699}, {'Lat': 41.426267527996, 'Lon': 140.105752672541}, {'Lat': 41.426175858635, 'Lon': 140.105302718709}, {'Lat': 41.4261341854046, 'Lon': 140.104923589025}, {'Lat': 41.426125841102, 'Lon': 140.104531958685}, {'Lat': 41.4261299921059, 'Lon': 140.104036170548}, {'Lat': 41.4261632695677, 'Lon': 140.102340490762}, {'Lat': 41.4261590830223, 'Lon': 140.101673885392}, {'Lat': 41.4261424055015, 'Lon': 140.101253091508}, {'Lat': 41.4260882335265, 'Lon': 140.100865629929}]"
