S_Kosaten,E_Kosaten,Shitei,Kubun,Fukuin,Jyoukuu,Kyokusen,Kyoryo,Spncho,KanrishaCode,Yuryo_No,TsukoKiseiCount,TsukoKisei,Kosoku_Santei_K,Yudo,Fuyo,Line
5336070377,5336070378,0,3,1,0,0,0,0.213,221213,0,0,,0.0,0,0,"[{'Lat': 35.4150864496825, 'Lon': 136.908973987671}, {'Lat': 35.4151322745051, 'Lon': 136.908840664304}, {'Lat': 35.4151905976944, 'Lon': 136.908699007873}, {'Lat': 35.4152489182257, 'Lon': 136.908449027569}, {'Lat': 35.4153239021895, 'Lon': 136.908144884719}, {'Lat': 35.4153405634753, 'Lon': 136.908003229814}, {'Lat': 35.4153197274122, 'Lon': 136.907794915436}, {'Lat': 35.4152405520087, 'Lon': 136.907069981647}, {'Lat': 35.4152405426042, 'Lon': 136.90668668179}]"
5336070377,5336071399,0,3,1,0,0,0,0.063000001,221213,0,0,,0.0,0,0,"[{'Lat': 35.4150864496825, 'Lon': 136.908973987671}, {'Lat': 35.4148948046194, 'Lon': 136.908961495779}, {'Lat': 35.4146489989795, 'Lon': 136.908944839567}, {'Lat': 35.4145198466694, 'Lon': 136.908928179084}]"
5337000423,5337000417,0,3,1,0,0,0,0.25400001,221214,0,0,,0.0,0,0,"[{'Lat': 35.403365450609, 'Lon': 137.017269132239}, {'Lat': 35.4032571428766, 'Lon': 137.017806589336}, {'Lat': 35.4031530032831, 'Lon': 137.018423206043}, {'Lat': 35.4030321990294, 'Lon': 137.019043989666}, {'Lat': 35.4028697303056, 'Lon': 137.019560617236}, {'Lat': 35.4027239232687, 'Lon': 137.019952255097}]"
5339466599,5339460617,3,3,1,0,0,0,0.40000001,1360830057,0,1,108.0,0.0,0,0,"[{'Lat': 35.6762426400855, 'Lon': 139.7697800176}, {'Lat': 35.6767509242628, 'Lon': 139.770088304336}, {'Lat': 35.6767634229628, 'Lon': 139.770092470147}, {'Lat': 35.6771467192495, 'Lon': 139.770325768271}, {'Lat': 35.6773966952534, 'Lon': 139.770484078119}, {'Lat': 35.6778508182119, 'Lon': 139.770767369152}, {'Lat': 35.6781757869722, 'Lon': 139.770971505429}, {'Lat': 35.6788590543964, 'Lon': 139.77139227558}, {'Lat': 35.6793340083354, 'Lon': 139.771675565774}]"
5339466599,5339466579,0,3,1,0,0,0,0.20999999,21301000900001,0,1,213.0,0.0,0,0,"[{'Lat': 35.678467496032, 'Lon': 139.773787921212}, {'Lat': 35.6787591111535, 'Lon': 139.773092135246}, {'Lat': 35.6793340083354, 'Lon': 139.771675565774}]"
5339469019,5339461029,3,3,1,0,0,0,0.081,1360830057,0,1,108.0,0.0,0,0,"[{'Lat': 35.681929592108, 'Lon': 139.773304489819}, {'Lat': 35.682562864843, 'Lon': 139.773712763033}]"
5339469019,5339466680,3,3,1,0,0,0,0.138,21301000900001,0,1,131.0,0.0,0,0,"[{'Lat': 35.6820129638419, 'Lon': 139.775091834688}, {'Lat': 35.682562864843, 'Lon': 139.773712763033}]"
5339469019,5339466704,1,3,1,0,0,0,0.131,1360830057,0,1,102.0,0.0,0,0,"[{'Lat': 35.6830752726421, 'Lon': 139.772429518084}, {'Lat': 35.6829627925905, 'Lon': 139.772700332939}, {'Lat': 35.682562864843, 'Lon': 139.773712763033}]"
6239370003,6240400002,3,3,2,1,1,14,9.9589996,1040810032,0,0,,0.0,1,0,"[{'Lat': 41.6320726232226, 'Lon': 139.995964100653}, {'Lat': 41.6326892152498, 'Lon': 139.995964067118}, {'Lat': 41.6333516341694, 'Lon': 139.995934867107}, {'Lat': 41.6339057321024, 'Lon': 139.995880675286}, {'Lat': 41.6342223582715, 'Lon': 139.995809831248}, {'Lat': 41.6345223185157, 'Lon': 139.995697325284}, {'Lat': 41.6349639267484, 'Lon': 139.995534816215}, {'Lat': 41.6354097019084, 'Lon': 139.995397304619}, {'Lat': 41.6355930113927, 'Lon': 139.995343132965}, {'Lat': 41.6357929874394, 'Lon': 139.995351454653}, {'Lat': 41.6359263057818, 'Lon': 139.995388943951}, {'Lat': 41.6361846132032, 'Lon': 139.995563913797}, {'Lat': 41.6367595618445, 'Lon': 139.996159661028}, {'Lat': 41.6370470368668, 'Lon': 139.9964804492}, {'Lat': 41.6372095234478, 'Lon': 139.996684588241}, {'Lat': 41.6384844131278, 'Lon': 139.998121886607}, {'Lat': 41.6388427143134, 'Lon': 139.998488500039}, {'Lat': 41.6391260210053, 'Lon': 139.998738461621}, {'Lat': 41.6394384903231, 'Lon': 139.998971756482}, {'Lat': 41.640213409909, 'Lon': 139.999409174059}, {'Lat': 41.6415007781755, 'Lon': 140.00019653154}, {'Lat': 41.6418465750055, 'Lon': 140.000371496619}, {'Lat': 41.6421715387273, 'Lon': 140.000471469732}, {'Lat': 41.642575658257, 'Lon': 140.000529775704}, {'Lat': 41.6435005470531, 'Lon': 140.000554723068}, {'Lat': 41.6438046770284, 'Lon': 140.000558872799}, {'Lat': 41.6441046421171, 'Lon': 140.000604685588}, {'Lat': 41.6445837552465, 'Lon': 140.000750479424}, {'Lat': 41.6451295287588, 'Lon': 140.000954597597}, {'Lat': 41.6453461718773, 'Lon': 140.001042077753}, {'Lat': 41.6455586501095, 'Lon': 140.001171220969}, {'Lat': 41.6457378000642, 'Lon': 140.001333696263}, {'Lat': 41.6483042297868, 'Lon': 140.003741668262}, {'Lat': 41.6492124758788, 'Lon': 140.004483217228}, {'Lat': 41.6499665664374, 'Lon': 140.004978963873}, {'Lat': 41.650429018107, 'Lon': 140.005228915687}, {'Lat': 41.6509206315084, 'Lon': 140.005433036796}, {'Lat': 41.6513830799871, 'Lon': 140.005578831526}, {'Lat': 41.6517538702157, 'Lon': 140.0056371393}, {'Lat': 41.6521954825223, 'Lon': 140.00560795127}, {'Lat': 41.6526620909089, 'Lon': 140.005549597894}, {'Lat': 41.6539160973247, 'Lon': 140.00527455491}, {'Lat': 41.6542368900312, 'Lon': 140.005216209474}, {'Lat': 41.6545118562292, 'Lon': 140.005199529366}, {'Lat': 41.6547035002033, 'Lon': 140.005216184062}, {'Lat': 41.6549159762648, 'Lon': 140.005274500454}, {'Lat': 41.6551784475496, 'Lon': 140.005374476956}, {'Lat': 41.6555617425173, 'Lon': 140.005636931921}, {'Lat': 41.6558367136928, 'Lon': 140.005782736857}, {'Lat': 41.6561116826984, 'Lon': 140.005857714978}, {'Lat': 41.6563741509196, 'Lon': 140.005857700682}, {'Lat': 41.6565991218937, 'Lon': 140.005799360462}, {'Lat': 41.6568490875436, 'Lon': 140.005666025785}, {'Lat': 41.6574115074473, 'Lon': 140.00527436453}, {'Lat': 41.6576364761235, 'Lon': 140.005141031215}, {'Lat': 41.6578531147726, 'Lon': 140.00508269145}, {'Lat': 41.6580655890464, 'Lon': 140.005082679876}, {'Lat': 41.6582447349157, 'Lon': 140.005111834099}, {'Lat': 41.6596445829112, 'Lon': 140.005682538638}, {'Lat': 41.660107030875, 'Lon': 140.005811668223}, {'Lat': 41.6603694996055, 'Lon': 140.005828319057}, {'Lat': 41.6607402866389, 'Lon': 140.005782469742}, {'Lat': 41.6624109101549, 'Lon': 140.005536568015}, {'Lat': 41.6627108729403, 'Lon': 140.00550738769}, {'Lat': 41.6629733411593, 'Lon': 140.00550737339}, {'Lat': 41.6632108145751, 'Lon': 140.005578187264}, {'Lat': 41.6634857844719, 'Lon': 140.00568232936}, {'Lat': 41.6642357038808, 'Lon': 140.00601559115}, {'Lat': 41.6646314942685, 'Lon': 140.006178054625}, {'Lat': 41.6650106180924, 'Lon': 140.006278024762}, {'Lat': 41.6653355796373, 'Lon': 140.006307171036}, {'Lat': 41.6659188423442, 'Lon': 140.006307139251}, {'Lat': 41.6673978304316, 'Lon': 140.006323723782}, {'Lat': 41.6682810554096, 'Lon': 140.006277846532}, {'Lat': 41.6692392687523, 'Lon': 140.006148639529}, {'Lat': 41.6700058392723, 'Lon': 140.006040274386}, {'Lat': 41.6703183005412, 'Lon': 140.006011093373}, {'Lat': 41.6706515935146, 'Lon': 140.006011075206}, {'Lat': 41.6709390604914, 'Lon': 140.0060693875}, {'Lat': 41.6711890320087, 'Lon': 140.006127701838}, {'Lat': 41.6732388164773, 'Lon': 140.007194158572}, {'Lat': 41.6735262852411, 'Lon': 140.007310798826}, {'Lat': 41.673826250193, 'Lon': 140.007352445304}, {'Lat': 41.6749344498353, 'Lon': 140.007369050018}, {'Lat': 41.6752219159172, 'Lon': 140.007398198325}, {'Lat': 41.6755302149804, 'Lon': 140.00749817231}, {'Lat': 41.6758426821211, 'Lon': 140.007660640313}, {'Lat': 41.6770092271854, 'Lon': 140.008302184301}, {'Lat': 41.6788257029919, 'Lon': 140.009251997787}, {'Lat': 41.6790881747819, 'Lon': 140.009368639399}, {'Lat': 41.6795297924371, 'Lon': 140.009514435222}, {'Lat': 41.6798255921192, 'Lon': 140.009585245901}, {'Lat': 41.6801505536589, 'Lon': 140.00961439216}, {'Lat': 41.6806629924939, 'Lon': 140.009643528193}, {'Lat': 41.6809712898956, 'Lon': 140.009689340492}, {'Lat': 41.6812587581469, 'Lon': 140.009789315606}, {'Lat': 41.6820211770533, 'Lon': 140.010155906931}, {'Lat': 41.682262817138, 'Lon': 140.010243385694}, {'Lat': 41.6825461183329, 'Lon': 140.010314197053}, {'Lat': 41.6828335840295, 'Lon': 140.010330846505}, {'Lat': 41.6836834805887, 'Lon': 140.010314135011}, {'Lat': 41.6845542093625, 'Lon': 140.010343251494}, {'Lat': 41.6849458294941, 'Lon': 140.01037239411}, {'Lat': 41.6853041217337, 'Lon': 140.010447367658}, {'Lat': 41.6856249192807, 'Lon': 140.01054734095}, {'Lat': 41.6860915339058, 'Lon': 140.0106931354}, {'Lat': 41.6866664705335, 'Lon': 140.010897251901}, {'Lat': 41.6871080890799, 'Lon': 140.011072211694}, {'Lat': 41.6873788945973, 'Lon': 140.011234681957}, {'Lat': 41.6876330363605, 'Lon': 140.01142631711}, {'Lat': 41.6881663197975, 'Lon': 140.011905410561}, {'Lat': 41.6883954640773, 'Lon': 140.012080381945}, {'Lat': 41.6886579358653, 'Lon': 140.012197023547}, {'Lat': 41.6893495241363, 'Lon': 140.012371969696}, {'Lat': 41.6896369925134, 'Lon': 140.012476111085}, {'Lat': 41.689924462168, 'Lon': 140.012621915303}, {'Lat': 41.6902452623965, 'Lon': 140.012809380533}, {'Lat': 41.6911410038501, 'Lon': 140.013350948442}, {'Lat': 41.6913784786654, 'Lon': 140.013467591407}, {'Lat': 41.6916284501782, 'Lon': 140.013525905726}, {'Lat': 41.69232003717, 'Lon': 140.013659189037}, {'Lat': 41.6925491782557, 'Lon': 140.013730003343}, {'Lat': 41.692811650043, 'Lon': 140.013846644941}, {'Lat': 41.6930366277771, 'Lon': 140.014009117699}, {'Lat': 41.6936199047752, 'Lon': 140.01447570956}, {'Lat': 41.6939448725707, 'Lon': 140.01470900367}, {'Lat': 41.6943031687684, 'Lon': 140.01491313198}, {'Lat': 41.6955447042268, 'Lon': 140.015538006658}, {'Lat': 41.6958530055852, 'Lon': 140.015712973713}, {'Lat': 41.6961154796721, 'Lon': 140.015904608403}, {'Lat': 41.696415452284, 'Lon': 140.016196231836}, {'Lat': 41.6966404335957, 'Lon': 140.016475360515}, {'Lat': 41.6977861782493, 'Lon': 140.018108480897}, {'Lat': 41.6979653282009, 'Lon': 140.018270956152}, {'Lat': 41.6981694749972, 'Lon': 140.01842926376}, {'Lat': 41.6984069503232, 'Lon': 140.018562571849}, {'Lat': 41.699469337235, 'Lon': 140.019070800363}, {'Lat': 41.6996943140747, 'Lon': 140.019204109135}, {'Lat': 41.6999359563293, 'Lon': 140.019362414693}, {'Lat': 41.700160934958, 'Lon': 140.019554051425}, {'Lat': 41.7005692317452, 'Lon': 140.01997482371}, {'Lat': 41.7008608734396, 'Lon': 140.020312276706}, {'Lat': 41.7011775138955, 'Lon': 140.020708056297}, {'Lat': 41.7013775004086, 'Lon': 140.021058013147}, {'Lat': 41.7015233263043, 'Lon': 140.021391307823}, {'Lat': 41.7016191605559, 'Lon': 140.021799598322}, {'Lat': 41.7016650015023, 'Lon': 140.022228722968}, {'Lat': 41.7017983516623, 'Lon': 140.023303616698}, {'Lat': 41.7018316886273, 'Lon': 140.023553591858}, {'Lat': 41.7019358598053, 'Lon': 140.02411186809}, {'Lat': 41.7020025260668, 'Lon': 140.024361841429}, {'Lat': 41.7021275205142, 'Lon': 140.024674305827}, {'Lat': 41.7023858404554, 'Lon': 140.025257571338}, {'Lat': 41.7024775018999, 'Lon': 140.02544921535}, {'Lat': 41.7026316561588, 'Lon': 140.025653354797}, {'Lat': 41.7028566374731, 'Lon': 140.025932483468}, {'Lat': 41.7033649234306, 'Lon': 140.026394913116}, {'Lat': 41.7037398855559, 'Lon': 140.02664070333}, {'Lat': 41.7040981799652, 'Lon': 140.026786503662}, {'Lat': 41.7045314635014, 'Lon': 140.026873971934}, {'Lat': 41.7049689114099, 'Lon': 140.026903112017}, {'Lat': 41.7053480317714, 'Lon': 140.026890592455}, {'Lat': 41.7056438277415, 'Lon': 140.026840580899}, {'Lat': 41.7058604649713, 'Lon': 140.026736411987}]"
623937F001,623937F002,3,3,1,0,0,2,1.9,1040810032,0,0,,0.0,1,0,"[{'Lat': 41.5982056034099, 'Lon': 139.986637632307}, {'Lat': 41.5988430264004, 'Lon': 139.986641763989}, {'Lat': 41.5991388240654, 'Lon': 139.986645914216}, {'Lat': 41.5994054608867, 'Lon': 139.986725059128}, {'Lat': 41.5997012626295, 'Lon': 139.986862530424}, {'Lat': 41.600188709886, 'Lon': 139.987066651851}, {'Lat': 41.6008261419233, 'Lon': 139.987366589654}, {'Lat': 41.6013469166954, 'Lon': 139.987512381302}, {'Lat': 41.6020093369135, 'Lon': 139.987524844189}, {'Lat': 41.6043465534283, 'Lon': 139.987503885871}, {'Lat': 41.6064254665887, 'Lon': 139.987441278731}, {'Lat': 41.6078669579076, 'Lon': 139.987412036466}, {'Lat': 41.6087335186783, 'Lon': 139.987378659136}, {'Lat': 41.6100416920299, 'Lon': 139.987324426402}, {'Lat': 41.6110957301078, 'Lon': 139.987291038884}, {'Lat': 41.6114665206041, 'Lon': 139.987357679278}, {'Lat': 41.6118206479803, 'Lon': 139.987474315977}, {'Lat': 41.6121539454364, 'Lon': 139.98762011779}, {'Lat': 41.612783045014, 'Lon': 139.987915889736}, {'Lat': 41.6136454532567, 'Lon': 139.98832830494}, {'Lat': 41.6143162152229, 'Lon': 139.98864907232}, {'Lat': 41.6153661033234, 'Lon': 139.989144803}]"
