KANRI_OFFICE_CD,KJ_NM,地整コード,管理都道府県コード
"1360880040","四国地方整備局　香川河川国道事務所",8,37
"1360880050","四国地方整備局　松山河川国道事務所",8,38
"1360880051","四国地方整備局　大洲河川国道事務所",8,38
"1360880061","四国地方整備局　中村河川国道事務所",8,39
"1360880062","四国地方整備局　土佐国道事務所",8,39
"136089","九州地方整備局",9,40
"1360890032","九州地方整備局　福岡国道事務所",9,40
"1360890033","九州地方整備局　北九州国道事務所",9,40
"1360890034","九州地方整備局　有明海沿岸国道事務所",9,40
"1360890038","九州地方整備局　佐賀国道事務所",9,41
"1360890045","九州地方整備局　長崎河川国道事務所",9,42
"1360890050","九州地方整備局　熊本河川国道事務所",9,43
"1360890051","九州地方整備局　八代河川国道事務所",9,43
"1360890060","九州地方整備局　大分河川国道事務所",9,44
"1360890061","九州地方整備局　佐伯河川国道事務所",9,44
"1360890065","九州地方整備局　宮崎河川国道事務所",9,45
"1360890066","九州地方整備局　延岡河川国道事務所",9,45
"1360890071","九州地方整備局　大隅河川国道事務所",9,46
"1360890072","九州地方整備局　鹿児島国道事務所",9,46
"143000","独立行政法人日本高速道路保有・債務返済機構",3,13
"143001","東日本高速道路株式会社",3,13
"143002","中日本高速道路株式会社",5,23
"143003","西日本高速道路株式会社",6,27
"143010","東日本高速道路株式会社　北海道支社",0,1
"1430108200","東日本高速道路株式会社　室蘭管理事務所",1,1
"1430109000","東日本高速道路株式会社　北広島管理事務所",1,1
"1430109100","東日本高速道路株式会社　札幌管理事務所",1,1
"1430109200","東日本高速道路株式会社　岩見沢管理事務所",1,1
"1430109500","東日本高速道路株式会社　旭川管理事務所",1,1
"1430109700","東日本高速道路株式会社　帯広管理事務所",1,1
"143011","東日本高速道路株式会社　東北支社",0,4
"1430111000","東日本高速道路株式会社　青森管理事務所",2,2
"1430111200","東日本高速道路株式会社　十和田管理事務所",2,5
"1430111600","東日本高速道路株式会社　盛岡管理事務所",2,3
"1430111800","東日本高速道路株式会社　北上管理事務所",2,3
"1430112000","東日本高速道路株式会社　古川管理事務所",2,4
"1430112100","東日本高速道路株式会社　仙台東管理事務所",2,4
"1430112200","東日本高速道路株式会社　仙台管理事務所",2,4
"1430112400","東日本高速道路株式会社　福島管理事務所",2,7
"1430112600","東日本高速道路株式会社　郡山管理事務所",2,7
"1430112800","東日本高速道路株式会社　八戸管理事務所",2,2
"1430113000","東日本高速道路株式会社　秋田管理事務所",2,5
"1430113100","東日本高速道路株式会社　横手管理事務所",2,5
"1430113200","東日本高速道路株式会社　山形管理事務所",2,6
"1430113600","東日本高速道路株式会社　会津若松管理事務所",2,7
"1430113700","東日本高速道路株式会社　いわき管理事務所",2,7
"1430118400","東日本高速道路株式会社　鶴岡管理事務所",2,6
"143017","西日本高速道路株式会社　中国支社",0,34
"1430171000","西日本高速道路株式会社　津山高速道路事務所",7,33
"1430171400","西日本高速道路株式会社　三次高速道路事務所",7,34
"1430171600","西日本高速道路株式会社　千代田高速道路事務所",7,34
"1430172000","西日本高速道路株式会社　山口高速道路事務所",7,35
"1430172200","西日本高速道路株式会社　岡山高速道路事務所",7,33
"1430172400","西日本高速道路株式会社　福山高速道路事務所",7,34
"1430172600","西日本高速道路株式会社　広島高速道路事務所",7,34
"1430173000","西日本高速道路株式会社　周南高速道路事務所",7,35
"1430173100","西日本高速道路株式会社　松江高速道路事務所",7,32
"1430173200","西日本高速道路株式会社　米子高速道路事務所",7,31
"1430173400","西日本高速道路株式会社　浜田管理事務所",7,32
"143018","西日本高速道路株式会社　四国支社",0,37
"1430188900","西日本高速道路株式会社　徳島高速道路事務所",8,36
"1430189100","西日本高速道路株式会社　香川高速道路事務所",8,37
"1430189200","西日本高速道路株式会社　高知高速道路事務所",8,39
"1430189300","西日本高速道路株式会社　愛媛高速道路事務所",8,38
"143051","中日本高速道路株式会社　東京支社",3,14
"1430518000","中日本高速道路株式会社　横浜保全・サービスセンター",3,14
"1430518100","中日本高速道路株式会社　御殿場保全・サービスセンター",5,22
"1430518200","中日本高速道路株式会社　富士保全・サービスセンター",5,22
"1430518300","中日本高速道路株式会社　静岡保全・サービスセンター",5,22
"1430518400","中日本高速道路株式会社　浜松保全・サービスセンター",5,22
"1430518800","中日本高速道路株式会社　伊勢原保全・サービスセンター",3,14
"143052","東日本高速道路株式会社　関東支社",0,11
"1430528000","東日本高速道路株式会社　那須管理事務所",3,9
"1430528100","東日本高速道路株式会社　宇都宮管理事務所",3,9
"1430528200","東日本高速道路株式会社　加須管理事務所",3,11
"1430528300","東日本高速道路株式会社　三郷管理事務所",3,11
"1430528400","東日本高速道路株式会社　千葉管理事務所",3,12
"1430528500","東日本高速道路株式会社　京浜管理事務所",3,14
"1430528600","東日本高速道路株式会社　市原管理事務所",3,12
"1430528700","東日本高速道路株式会社　所沢管理事務所",3,11
"1430528800","東日本高速道路株式会社　谷和原管理事務所",3,8
"1430528900","東日本高速道路株式会社　水戸管理事務所",3,8
"1430529000","東日本高速道路株式会社　高崎管理事務所",3,10
"1430529100","東日本高速道路株式会社　東京湾アクアライン管理事務所",3,12
"1430529200","東日本高速道路株式会社　佐久管理事務所",3,20
"1430529300","東日本高速道路株式会社　長野管理事務所",3,20
"143053","中日本高速道路株式会社　八王子支社",0,13
"1430538300","中日本高速道路株式会社　八王子保全・サービスセンター",3,13
"1430538400","中日本高速道路株式会社　大月保全・サービスセンター",3,19
"1430538800","中日本高速道路株式会社　松本保全・サービスセンター",3,20
"1430539000","中日本高速道路株式会社　甲府保全・サービスセンター",3,19
"143054","東日本高速道路株式会社　新潟支社",0,15
"1430548000","東日本高速道路株式会社　湯沢管理事務所",4,15
"1430548200","東日本高速道路株式会社　新潟管理事務所",4,15
"1430548300","東日本高速道路株式会社　長岡管理事務所",4,15
"1430548400","東日本高速道路株式会社　上越管理事務所",4,15
"143055","中日本高速道路株式会社　名古屋支社",0,23
"1430558000","中日本高速道路株式会社　豊田保全・サービスセンター",5,23
"1430558100","中日本高速道路株式会社　名古屋保全・サービスセンター",5,23
