Rosen,Kyori,S_Kosaten,E_Kosaten,Kiten_Kyori,Bunri,Encho,L_Fukuin,L_T,L_T350,L_T300,L_T175,L_T150,C_T,R_T150,R_T175,R_T300,R_T350,R_T,R_Fukuin,Seigen,Chisaki_Knj,Kouzou_Knj
"00000200001000",680,"5236579748","5236579305",0.68000001,1,0.0040000002,4.75,4.46,4.4200001,4.4200001,4.4200001,4.4099998,4.3800001,4.3600001,4.3899999,4.3400002,4.3099999,4.3099999,4.75,4.1999998,"名古屋市熱田区八番町","国鉄東臨港線架道橋"
"00000200001000",940,"5235362281","5235361082",0.94,1,0.27500001,3.04,4.4899998,0,4.5300002,5.3600001,5.46,5.6199999,5.3099999,5.1700001,0,0,4.4000001,2.8299999,0,"京都市山科区上花山旭山町","東山トンネル（下り）"
"00000200001000",950,"5235362281","5235361082",0.94999999,2,0.25799999,3,4.4699998,0,4.4699998,5.4000001,5.5100002,5.77,5.48,5.3699999,0,0,4.6799998,2.8399999,0,"京都市山科区上花山旭山町","東山トンネル（上り）"
"00000200001003",1260,"5239600284","5239600121",1.26,3,0.0049999999,3.3499999,4.5,0,4.5,4.5,4.5,4.4000001,4.3499999,4.3499999,4.1999998,4.1999998,4.1999998,3.5,0,"箱根町塔ノ沢","箱根登山鉄道"
"00000200001033",160,"5238331441","5238331437",0.16,2,0.0080000004,3.25,4.5100002,0,4.5,4.48,4.48,4.5,4.5,4.5,4.5,0,4.6999998,3.25,0,"静岡市葵区古庄内地","静鉄跨道橋"
"00000200001080",25,"5235362392","5235361224",0.025,1,0.001,2.7,4.4000001,0,0,4.4000001,4.4000001,4.4000001,4.4000001,4.4000001,0,0,4.4000001,2.7,0,"京都市東山区上馬町","高さ制限バー"
"00000200001080",186,"5235362392","5235361224",0.186,2,0.0099999998,2.95,5,0,0,5,5,4.5999999,4.4000001,4.4000001,0,0,4.4000001,2.95,0,"京都市東山区五条橋東六丁目","橋脚梁部"
"00000200002000",0,"503077F001","5030771089",0,2,1.687,1.65,4.1500001,0,0,0,4.1999998,4.5,4.5,0,0,0,4.5,1.65,0,"北九州市門司区老松町","関門トンネル"
"00000200002000",0,"503077F001","5030771089",0,1,1.687,1.65,4.1500001,0,0,0,4.1999998,4.5,4.5,0,0,0,4.5,1.65,0,"北九州市門司区老松町","関門トンネル"
"00000200002000",140,"5130070212","5030770478",0.14,3,0.54500002,3.25,4.3000002,0,4.5500002,5.4000001,5.5,5.79,5.5,5.4000001,4.5500002,0,4.3000002,3.25,0,"下関市長府安養寺２丁目","長府隧道"
"00000200002000",215,"5132110063","5132210021",0.215,3,0.36199999,3.5,4.3000002,4.3000002,4.6599998,5.7199998,5.8499999,6.1300001,5.8499999,5.7199998,4.6599998,4.3000002,4.3000002,3.5,0,"岩国市岩国４丁目","岩国隧道"
"00000200002000",580,"5133630434","5133630303",0.57999998,3,0.115,3.25,4.3000002,0,4.5,5.5,5.5999999,5.8499999,5.5999999,5.5,4.5,0,4.3000002,3.25,0,"笠岡市大宜","城見隧道"
"00000200002000",2363,"5030770992","503077F001",2.3629999,1,1.774,1.65,4.1500001,0,0,0,4.1999998,4.5,4.5,0,0,0,4.5,1.65,0,"下関市椋野町２丁目","関門トンネル"
"00000200002000",2363,"5030770992","503077F001",2.3629999,2,1.734,1.65,4.5,0,0,0,4.5,4.5,4.3000002,0,0,0,4.1999998,1.65,0,"下関市椋野町２丁目","関門トンネル"
"00000200002105",0,"5234161139","5234160437",0,3,0.02,1.5,2.2,0,0,2.2,2.2,2.2,2.2,2.2,0,0,2.2,1.5,1.8,"加古川市西神吉町岸","加古川バイパス横断ボックス"
"00000200003000",36,"5030334394","5030334877",0.035999998,3,0.003,8.8000002,4.9299998,4.6500001,4.6500001,4.5999999,4.5599999,4.5500002,4.5,4.48,4.4000001,4.4099998,4.4299998,9.1999998,4.1999998,"福岡市東区大字箱崎７丁目","跨道橋（鉄道橋）"
"00000200003000",420,"5030665920","5030666808",0.41999999,1,0.12,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.4000001,"北九州市八幡東区　西本町３丁目","八幡隧道（下り）"
"00000200003000",420,"5030665920","5030666808",0.41999999,2,0.12,3.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,3.5,4.4000001,"北九州市八幡東区　西本町３丁目","八幡隧道（上り）"
"00000200003000",440,"4830440037","4830440035",0.44,3,0.054000001,3,4.0999999,0,4.8800001,5.6900001,5.7800002,5.8099999,5.5700002,5.4899998,4.3899999,0,4.0999999,3,0,"芦北町小田浦","田浦トンネル"
"00000200003000",1420,"4830440039","4830330020",1.42,3,0.26499999,3,4.0999999,0,4.4299998,5.3699999,5.48,5.6700001,5.48,5.3800001,4.3899999,0,4.3899999,3,0,"芦北町小田浦","海浦トンネル"
"00000200003000",2081,"4830340073","4830230242",2.0810001,3,0.52100003,3,4.0999999,0,4.2199998,5.21,5.3000002,5.4499998,5.29,5.1700001,4.3299999,0,4.0999999,3,0,"芦北町大川内","津奈木トンネル"
"00000200003000",4418,"4830440067","4830440060",4.4180002,3,0.68000001,3.25,4.0999999,0,4.4000001,5.1799998,5.3299999,5.3800001,5.1300001,5.0100002,4.1300001,0,4.0999999,3.25,0,"八代市二見","赤松トンネル"
"00000200005000",4891,"6440660247","6440670572",4.8909998,3,1.063,4,4.3000002,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.3000002,4,4.3000002,"小樽市塩谷１丁目","塩谷トンネル"
"00000200005000",5528,"6440260061","6440350010",5.5279999,3,0.075000003,3.25,4,0,4,5.5,5.5999999,5.8000002,5.5,5.4000001,4,0,4,3.25,3.8,"共和町盤の沢","盤の沢トンネル"
"00000200005000",6242,"6440350010","6440450011",6.2420001,3,0.22499999,3.25,4.1999998,0,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,0,4.1999998,3.25,3.8,"共和町島付内","島付内トンネル"
"00000200005000",7952,"6440350010","6440450011",7.9520001,3,1.23,3.25,4.1999998,0,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,4.1999998,0,4.1999998,3.25,3.8,"共和町島付内","稲穂トンネル"
"00000200005000",12769,"6440260061","6440350010",12.769,3,0.105,3.25,4,0,4,5.3000002,5.4000001,5.6599998,5.4000001,5.3000002,4,0,4,3.25,3.8,"共和町国富","国富トンネル"
"00000200006000",471,"5540260021","5540260029",0.47099999,3,0.059999999,3.75,4.3000002,4.3000002,4.9299998,5.8499999,6.0100002,6.3099999,6,5.8899999,4.9000001,4.5100002,4.5100002,3.75,0,"北茨城市平潟町字経塚６４６番地１","平潟トンネル"
"00000200007000",639,"5739440004","5739540027",0.639,3,0.90799999,3.5,4.3000002,4.3000002,4.9000001,5.6999998,5.8000002,6,5.8000002,5.6999998,4.9000001,4.3000002,4.3000002,3.5,0,"村上市蒲萄","朝日トンネル"
