Kosaten,New_Kanri_Code,Sarosuu,Next_Kosa1,Next_Kosa2,Next_Kosa3,Next_Kosa4,Next_Kosa5,Next_Kosa6,Next_Kosa7,Next_Kosa8,枝番ＩＤ1,枝番ＩＤ2,枝番ＩＤ3,枝番ＩＤ4,枝番ＩＤ5,枝番ＩＤ6,枝番ＩＤ7,枝番ＩＤ8,Eda11,Eda12,Eda13,Eda14,Eda15,Eda16,Eda17,Eda18,Eda21,Eda22,Eda23,Eda24,Eda25,Eda26,Eda27,Eda28,Eda31,Eda32,Eda33,Eda34,Eda35,Eda36,Eda37,Eda38,Eda41,Eda42,Eda43,Eda44,Eda45,Eda46,Eda47,Eda48,Eda51,Eda52,Eda53,Eda54,Eda55,Eda56,Eda57,Eda58,Eda61,Eda62,Eda63,Eda64,Eda65,Eda66,Eda67,Eda68,Eda71,Eda72,Eda73,Eda74,Eda75,Eda76,Eda77,Eda78,Eda81,Eda82,Eda83,Eda84,Eda85,Eda86,Eda87,Eda88,Todofuken,Kosaten_Name,Chisaki_Name,進禁有無,枝番1路線,枝番2路線,枝番3路線,枝番4路線,枝番5路線,枝番6路線,枝番7路線,枝番8路線
"6240100031","201331",1,"6240100027",,,,,,,,1,0,0,0,0,0,0,0,"9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字福山",0,"01331797106000",,,,,,,
"6240100037","201331",1,"6240100041",,,,,,,,1,0,0,0,0,0,0,0,"9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字大磯",0,"01331797103002",,,,,,,
"6240100041","201331",3,"6240100004","6240100037","6240100006",,,,,,1,2,3,0,0,0,0,0,"9999","090","050","9999","9999","9999","9999","9999","040","9999","110","9999","9999","9999","9999","9999","050","100","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字大磯",0,"01331700117000","01331797103002","01331700117000",,,,,
"6240100042","1040810032",3,"6240100007","6240100019","6240100004",,,,,,1,3,7,0,0,0,0,0,"9999","080","050","9999","9999","9999","9999","9999","050","9999","010","9999","9999","9999","9999","9999","080","010","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町博多",0,"01000500380000","00000200228000","00000200228000",,,,,
"624010F001","1040810032",3,"6240100004","623937F001","624010F002",,,,,,3,7,1,0,0,0,0,0,"9999","010","090","9999","9999","9999","9999","9999","010","9999","100","9999","9999","9999","9999","9999","090","090","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字建石６９",0,"00000200228000","00000200228000","01331700057000",,,,,
"624010F002","201331",2,"624010F003","624010F001",,,,,,,1,5,0,0,0,0,0,0,"9999","050","9999","9999","9999","9999","9999","9999","050","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字建石２１６－１８４",0,"01331700045000","01331700057000",,,,,,
"624010F003","201331",1,"624010F002",,,,,,,,5,0,0,0,0,0,0,0,"9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字建石２２７",0,"01331700045000",,,,,,,
"6240110006","201053",2,"6240300006","6240110024",,,,,,,1,2,0,0,0,0,0,0,"9999","0511","9999","9999","9999","9999","9999","9999","0511","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"松前町字上川",1,"01000500607000","01000500607000",,,,,,
"6240110014","1040810032",3,"6240110015","6240110022","6240120012",,,,,,3,5,7,0,0,0,0,0,"9999","080","010","9999","9999","9999","9999","9999","080","9999","080","9999","9999","9999","9999","9999","010","080","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"福島町字福島７２",0,"00000200228000","01000500636000","00000200228000",,,,,
"6240110015","1040810032",3,"6240110014","6240110024","6240110022",,,,,,1,5,6,0,0,0,0,0,"9999","010","050","9999","9999","9999","9999","9999","010","9999","110","9999","9999","9999","9999","9999","050","110","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999","9999",1,,"福島町字館崎２８",0,"00000200228000","00000200228000","01332700231000",,,,,
