面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
20.27,24,0042,None,None,0,11,00,1,49,None,99240000410042,None,24041420,0041,None,17.0,11,1,143.699756,43.766357
20.27,24,0042,None,None,0,11,00,1,49,None,99240000410042,None,24041420,0041,None,17.0,11,1,143.701959,43.765191
27.38,24,0003,None,None,0,11,00,2,133,None,99240000410003,None,24041030,0041,None,98.0,11,1,143.693524,43.765813
10.14,24,0042,None,None,0,11,00,1,60,None,99240000400042,None,24040420,0040,None,17.0,11,1,143.716173,43.759105
1.81,24,0060,None,None,0,11,00,1,24,None,99240000400060,None,24040600,0040,None,26.0,11,1,143.714813,43.759894
20.27,24,0042,None,None,0,11,00,1,49,None,99240000410042,None,24041420,0041,None,17.0,11,1,143.69236,43.764879
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.7207,43.758896
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.719918,43.759116
3.26,24,0043,None,None,0,11,00,1,48,None,99240000410043,None,24041430,0041,None,5.0,11,1,143.687994,43.765323
9.9,24,0053,None,None,0,11,00,1,52,None,99240000410053,None,24041530,0041,None,17.0,11,1,143.690413,43.762889
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.705287,43.7528
20.27,24,0042,None,None,0,11,00,1,49,None,99240000410042,None,24041420,0041,None,17.0,11,1,143.696902,43.764766
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.701905,43.747875
3.34,24,0021,None,None,2,11,00,2,133,None,99240000410021,None,24041210,0041,None,98.0,11,1,143.688241,43.762304
2.01,24,0041,None,None,0,11,00,1,54,None,99240000410041,None,24041410,0041,None,23.0,11,1,143.697121,43.763462
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.709704,43.748898
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.720375,43.762285
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.719105,43.761432
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.697027,43.751081
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.706839,43.75287
1.29,24,0045,None,None,0,11,00,1,49,None,99240000410045,None,24041450,0041,None,17.0,11,1,143.694289,43.762546
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.715866,43.762881
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.721413,43.761837
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.721054,43.762336
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.721695,43.760932
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.715093,43.761937
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.703104,43.752689
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.71587,43.76228
27.38,24,0003,None,None,0,11,00,2,133,None,99240000410003,None,24041030,0041,None,98.0,11,1,143.6892,43.76174
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.718889,43.762563
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.717768,43.761194
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.720791,43.76146
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.716796,43.760912
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.698276,43.752515
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.719893,43.760819
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.715723,43.761062
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.712345,43.75956
8.35,24,0051,None,None,0,11,00,1,54,None,99240000400051,None,24040510,0040,None,26.0,11,1,143.718691,43.759656
5.87,24,0055,None,None,0,11,00,1,53,None,99240000400055,None,24040550,0040,None,17.0,11,1,143.710297,43.759415
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.722178,43.759237
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.714064,43.759041
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.718789,43.758981
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.713367,43.758998
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.709205,43.758595
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.714677,43.758514
8.63,24,0043,None,None,0,11,00,1,49,None,99240000400043,None,24040430,0040,None,17.0,11,1,143.722429,43.758896
1.6,24,0053,None,None,0,11,00,1,54,None,99240000400053,None,24040530,0040,None,17.0,11,1,143.713406,43.757309
1.79,24,0061,None,None,0,11,00,1,60,None,99240000400061,None,24040610,0040,None,23.0,11,1,143.709346,43.758074
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.705458,43.751569
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.713675,43.757953
10.14,24,0042,None,None,0,11,00,1,60,None,99240000400042,None,24040420,0040,None,17.0,11,1,143.712004,43.758191
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.706063,43.753042
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.70147,43.752307
10.14,24,0042,None,None,0,11,00,1,60,None,99240000400042,None,24040420,0040,None,17.0,11,1,143.71246,43.757181
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.71078,43.757366
10.77,24,0045,None,None,0,11,00,1,60,None,99240000400045,None,24040450,0040,None,17.0,11,1,143.710711,43.757043
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.704212,43.757202
3.03,24,0028,None,None,2,11,00,2,133,None,99240000400028,None,24040280,0040,None,98.0,11,1,143.720895,43.763179
3.03,24,0028,None,None,2,11,00,2,133,None,99240000400028,None,24040280,0040,None,98.0,11,1,143.721361,43.764076
27.38,24,0003,None,None,0,11,00,2,133,None,99240000410003,None,24041030,0041,None,98.0,11,1,143.704046,43.761644
27.38,24,0003,None,None,0,11,00,2,133,None,99240000410003,None,24041030,0041,None,98.0,11,1,143.70481,43.763015
5.14,24,0057,None,None,0,11,00,1,21,None,99240000410057,None,24041570,0041,None,22.0,11,1,143.709676,43.763157
3.06,24,0056,None,None,0,11,00,1,54,None,99240000410056,None,24041560,0041,None,17.0,11,1,143.7083,43.762338
3.12,24,0058,None,None,0,11,00,1,51,None,99240000410058,None,24041580,0041,None,17.0,11,1,143.706238,43.762405
5.53,24,0061,None,None,0,11,00,1,51,None,99240000410061,None,24041610,0041,None,23.0,11,1,143.694205,43.764931
2.28,24,0060,None,None,0,11,00,1,19,None,99240000410060,None,24041600,0041,None,22.0,11,1,143.702574,43.763078
2.28,24,0060,None,None,0,11,00,1,19,None,99240000410060,None,24041600,0041,None,22.0,11,1,143.704867,43.762104
2.28,24,0060,None,None,0,11,00,1,19,None,99240000410060,None,24041600,0041,None,22.0,11,1,143.7056,43.762665
4.57,24,0059,None,None,0,11,00,1,19,None,99240000410059,None,24041590,0041,None,22.0,11,1,143.70376,43.764
4.57,24,0059,None,None,0,11,00,1,19,None,99240000410059,None,24041590,0041,None,22.0,11,1,143.705417,43.763172
2.9,24,0093,None,None,0,11,00,1,19,None,99240000410093,None,24041930,0041,None,26.0,11,1,143.705337,43.764254
6.79,24,0062,None,None,0,11,00,1,7,None,99240000410062,None,24041620,0041,None,23.0,11,1,143.692197,43.768636
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.708465,43.749288
59.96,24,0041,None,None,0,11,00,1,61,None,99240000400041,None,24040410,0040,None,17.0,11,1,143.696402,43.750144
48.15,24,0003,None,None,0,11,00,2,133,None,99240000400003,None,24040030,0040,None,98.0,11,1,143.699933,43.753088
22.8,24,0051,None,None,4,11,00,1,69,None,99240000200051,None,24020510,0020,None,17.0,12,1,143.587392,43.65192
12.36,24,0052,None,None,3,11,00,1,69,None,99240000200052,None,24020520,0020,None,17.0,12,1,143.582953,43.64857
6.56,24,0008,None,None,0,11,00,2,133,None,99240000140008,None,24014080,0014,None,39.0,12,18,143.579233,43.637592
20.02,24,0003,None,None,0,11,00,2,133,None,99240000140003,None,24014030,0014,None,99.0,12,18,143.579283,43.636746
18.94,24,0024,None,None,3,11,00,2,133,None,99240000150024,None,24015240,0015,None,99.0,12,18,143.594581,43.62066
35.64,24,0058,None,None,3,11,00,1,68,None,99240000210058,None,24021580,0021,None,17.0,12,1,143.591384,43.655881
20.19,24,0027,None,None,3,11,00,2,133,None,99240000150027,None,24015270,0015,None,99.0,12,18,143.591083,43.620401
46.34,24,0001,None,None,0,11,00,2,133,None,99240000190001,None,24019010,0019,None,39.0,12,1,143.599794,43.644726
24.63,24,0002,None,None,0,11,00,2,133,None,99240000200002,None,24020020,0020,None,99.0,12,1,143.587354,43.634665
8.1,24,0007,None,None,2,11,00,2,133,None,99240000200007,None,24020070,0020,None,39.0,12,1,143.589583,43.637973
46.34,24,0001,None,None,0,11,00,2,133,None,99240000190001,None,24019010,0019,None,39.0,12,1,143.588398,43.645943
6.73,24,0055,None,None,0,11,00,1,68,None,99240000190055,None,24019550,0019,None,23.0,12,1,143.589504,43.645159
46.34,24,0001,None,None,0,11,00,2,133,None,99240000190001,None,24019010,0019,None,39.0,12,1,143.591293,43.639516
21.74,24,0001,None,None,2,11,00,2,133,None,99240000200001,None,24020010,0020,None,99.0,12,1,143.584062,43.63752
21.42,24,0004,None,None,0,11,00,2,133,None,99240000140004,None,24014040,0014,None,39.0,12,18,143.567777,43.62591
16.64,24,0020,None,None,3,11,00,2,133,None,99240000140020,None,24014200,0014,None,99.0,12,18,143.571861,43.625723
46.34,24,0001,None,None,0,11,00,2,133,None,99240000190001,None,24019010,0019,None,39.0,12,1,143.60102,43.645841
24.63,24,0002,None,None,0,11,00,2,133,None,99240000200002,None,24020020,0020,None,99.0,12,1,143.584478,43.646677
21.74,24,0001,None,None,2,11,00,2,133,None,99240000200001,None,24020010,0020,None,99.0,12,1,143.586326,43.645333
34.86,24,0055,None,None,4,11,00,1,71,None,99240000200055,None,24020550,0020,None,17.0,12,1,143.579165,43.645079
19.33,24,0056,None,None,4,11,00,1,68,None,99240000200056,None,24020560,0020,None,17.0,12,1,143.586828,43.640612
