交差点番号,管理者名,交差点名,地先名,緯度,経度,整理番号,備考
6240440007,201236,,北斗市三ツ石一丁目,41.73366078,140.5760765,,
6240440016,北海道開発局 函館開発建設部,,木古内町泉沢,41.70085835,140.4977989,,
6240440019,201334,,木古内町木古内町大釜谷,41.72558986,140.550499,,
6240500002,201362,,上ノ国町字向浜,41.80463048,140.1184225,,
6240500003,北海道開発局 函館開発建設部,,上ノ国町字北村,41.81047589,140.1199722,,
6240500004,北海道開発局 函館開発建設部,,上ノ国町字大留,41.80343833,140.1211739,,
6240500009,北海道開発局 函館開発建設部,,上ノ国町字北村,41.80945229,140.1199722,,
6240500013,201362,,上ノ国町上ノ国町勝山,41.79870354,140.1148224,,
6240500014,北海道開発局 函館開発建設部,,上ノ国町勝山,41.79972731,140.1134491,,
6240500016,201362,,上ノ国町上ノ国町勝山,41.79422437,140.1002312,,
6240500017,北海道開発局 函館開発建設部,,上ノ国町勝山,41.80702119,140.0967979,,
624050F001,201362,,上ノ国町字向浜,41.80740505,140.1141357,,
624050F002,201362,,上ノ国町字大留,41.8054857,140.1208305,,
624050F004,201362,,上ノ国町字勝山,41.79076879,140.1045227,,
6240510007,201361,,江差町字椴川町２４１－３,41.82314154,140.1258087,,
6240510022,201362,,上ノ国町字北村,41.81482599,140.1240921,,
6240510023,201362,,上ノ国町字大留,41.81060384,140.1299286,,
6240510036,北海道開発局 函館開発建設部,大留ラウンドアバウト,上ノ国町大留１４２－１３,41.80522979,140.1234055,,
624051F001,北海道開発局 函館開発建設部,,上ノ国町字大留,41.80369426,140.1216888,,
624051F003,201362,,上ノ国町字小森,41.77028746,140.1292419,,
6240530003,渡島総合振興局 函館建設管理部,,北斗市湯の沢,41.82451759,140.4527282,,
6240540015,渡島総合振興局 函館建設管理部,,北斗市茂辺地１丁目２５０番１地先,41.76324549,140.6038857,,
6240540018,北海道開発局 函館開発建設部,,北斗市字茂辺地２１５番１,41.7629894,140.6044006,,
6240540032,201236,,北斗市添山１５６,41.83388619,140.6181335,,
6240540048,201236,,北斗市三好８５,41.81712887,140.6181335,,
6240540050,201236,,北斗市水無４８,41.82007131,140.6193352,,
6240540059,北海道開発局 函館開発建設部,,北斗市富川町,41.80510183,140.6212234,,
6240540060,北海道開発局 函館開発建設部,北斗富川ＩＣ,北斗市富川,41.8054857,140.6195068,,
6240540067,北海道開発局 函館開発建設部,北斗茂辺地ＩＣ,北斗市茂辺地,41.7679829,140.5922127,,
6240540068,北海道開発局 函館開発建設部,茂辺地,北斗市茂辺地,41.76593433,140.5901527,,
6240540076,渡島総合振興局 函館建設管理部,,北斗市茂辺地四丁目６４０番１２地先,41.76555022,140.5997658,,
6240540077,渡島総合振興局 函館建設管理部,,北斗市茂辺地６６９番１地先,41.7651661,140.5994225,,
6240540095,北海道開発局 函館開発建設部,北斗茂辺地ＩＣ,北斗市茂辺地,41.76209309,140.5872345,,
624054F001,201236,,北斗市大工川３２８番地先,41.83480491,140.6203539,,
6240550003,201236,,北斗市添山６４,41.82672329,140.6294632,,
6240550012,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目６,41.81943166,140.6414795,,
6240550013,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目６,41.81891993,140.6418228,,
6240550014,渡島総合振興局 函館建設管理部,,北斗市飯生二丁目３,41.81828027,140.6419945,,
6240550040,渡島総合振興局 函館建設管理部,,北斗市久根別２丁目,41.82633954,140.6665421,,
6240550041,北海道開発局 函館開発建設部,,北斗市七重浜８丁目,41.824037,140.6667137,,
