小字名,QGIS_ID,地番,version,大字名,市町村C,測地判別,予備名,丁目名,市町村名,center_lng,center_lat
字北兵村三区,01558道-19,道-19,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.599805,44.202708
字北兵村三区,01558道-20,道-20,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.597136,44.198088
字北兵村三区,01558道-22,道-22,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.615883,44.197559
字北兵村三区,01558道-26,道-26,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.605357,44.19277
字北兵村三区,01558道-29,道-29,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.613146,44.1895
字北兵村三区,01558道-30,道-30,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.619879,44.189128
字北兵村三区,01558道-31,道-31,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.615352,44.189313
字北兵村三区,01558道-33,道-33,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.620595,44.19403
字北兵村三区,01558道-34,道-34,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.61375,44.190493
字北兵村三区,01558道-35,道-35,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.616237,44.194237
字北兵村三区,01558道-36,道-36,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.616851,44.195229
字北兵村三区,01558道-37,道-37,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.612007,44.191413
字北兵村三区,01558道-39,道-39,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.618293,44.194062
字北兵村三区,01558道-40,道-40,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.617505,44.189288
字北兵村三区,01558道-41,道-41,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.616894,44.1883
字北兵村三区,01558道-42,道-42,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.633546,44.189195
字北兵村三区,01558道-43,道-43,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.627082,44.191257
字北兵村三区,01558道-44,道-44,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.630669,44.184553
字北兵村三区,01558道-45,道-45,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.62424,44.186674
字北兵村三区,01558水-2,水-2,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.589698,44.196881
字北兵村三区,01558長狭物不明-5,長狭物不明-5,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.592525,44.197877
字北兵村三区,01558長狭物不明-6,長狭物不明-6,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.590423,44.194788
字北兵村三区,01558長狭物不明-7,長狭物不明-7,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.609874,44.188859
字北兵村三区,01558道-21,道-21,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.599036,44.195239
字旭,01558道-4,道-4,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.578625,44.198544
字北兵村三区,01558道-18,道-18,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.619974,44.193041
字北兵村三区,01558道-32,道-32,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.621674,44.19204
字北兵村三区,01558道-24,道-24,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.592116,44.194212
字旭,01558道-9,道-9,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.570381,44.198456
字旭,01558道-17,道-17,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.579668,44.201128
字北兵村三区,01558道-38,道-38,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.613927,44.194502
字北兵村三区,01558道-23,道-23,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.610715,44.193763
字旭,01558道-48,道-48,ver1.0,None,01558,変換,None,None,紋別郡上湧別町,143.574742,44.210713
