小字名,市区町村名,地番,大字名,center_lng,center_lat
字富良野原野,空知郡中富良野町,1895-832,,142.528248,43.361813
字富良野原野,空知郡中富良野町,1895-185,,142.527815,43.361897
字富良野原野,空知郡中富良野町,1895-862,,142.521455,43.366604
字富良野原野,空知郡中富良野町,1895-161,,142.52302,43.365255
字富良野原野,空知郡中富良野町,1895-160,,142.522256,43.365931
字富良野原野,空知郡中富良野町,1895-392,,142.523156,43.365671
字富良野原野,空知郡中富良野町,1895-826,,142.523162,43.366093
字富良野原野,空知郡中富良野町,1895-405,,142.52371,43.365028
字富良野原野,空知郡中富良野町,1895-408,,142.523666,43.364867
字富良野原野,空知郡中富良野町,1895-827,,142.523554,43.364933
字富良野原野,空知郡中富良野町,水-1,,142.527267,43.36184
字富良野原野,空知郡中富良野町,1895-178,,142.527814,43.362805
字富良野原野,空知郡中富良野町,1895-514,,142.528608,43.363704
字富良野原野,空知郡中富良野町,1895-166,,142.527797,43.363737
字富良野原野,空知郡中富良野町,1895-752,,142.528611,43.36482
字富良野原野,空知郡中富良野町,1895-750,,142.528425,43.364785
字富良野原野,空知郡中富良野町,1895-751,,142.528498,43.365058
字富良野原野,空知郡中富良野町,1895-162,,142.52682,43.364887
字富良野原野,空知郡中富良野町,1895-759,,142.527059,43.366314
字富良野原野,空知郡中富良野町,1895-760,,142.527283,43.366439
字富良野原野,空知郡中富良野町,1895-753,,142.528104,43.365744
字富良野原野,空知郡中富良野町,1895-754,,142.528289,43.365784
字富良野原野,空知郡中富良野町,1895-761,,142.527784,43.366398
字富良野原野,空知郡中富良野町,1895-763,,142.528069,43.366445
字富良野原野,空知郡中富良野町,1895-762,,142.528103,43.366462
字富良野原野,空知郡中富良野町,1895-248,,142.529211,43.36594
字富良野原野,空知郡中富良野町,1895-176,,142.529991,43.364852
字富良野原野,空知郡中富良野町,1895-180,,142.530374,43.365511
字富良野原野,空知郡中富良野町,1895-7,,142.530836,43.365177
字富良野原野,空知郡中富良野町,1895-67,,142.531951,43.365329
字富良野原野,空知郡中富良野町,1895-64,,142.533515,43.365516
字富良野原野,空知郡中富良野町,1895-785,,142.534963,43.365254
字富良野原野,空知郡中富良野町,1895-29,,142.532854,43.364644
字富良野原野,空知郡中富良野町,1895-271,,142.532651,43.363918
字富良野原野,空知郡中富良野町,1895-62,,142.533478,43.364306
字富良野原野,空知郡中富良野町,1895-4,,142.534194,43.364215
字富良野原野,空知郡中富良野町,1895-6,,142.53226,43.362711
字富良野原野,空知郡中富良野町,1895-806,,142.5311,43.363375
字富良野原野,空知郡中富良野町,1895-66,,142.531524,43.363759
字富良野原野,空知郡中富良野町,1895-805,,142.530796,43.364271
字富良野原野,空知郡中富良野町,1895-164,,142.529073,43.364265
字富良野原野,空知郡中富良野町,1895-749,,142.528811,43.36422
字富良野原野,空知郡中富良野町,1895-748,,142.528625,43.364188
字富良野原野,空知郡中富良野町,1895-737,,142.528876,43.363742
字富良野原野,空知郡中富良野町,1895-738,,142.52883,43.363745
字富良野原野,空知郡中富良野町,1895-513,,142.52873,43.363407
字富良野原野,空知郡中富良野町,1895-516,,142.52875,43.363275
字富良野原野,空知郡中富良野町,1895-165,,142.530074,43.36317
字富良野原野,空知郡中富良野町,1895-740,,142.529028,43.363068
字富良野原野,空知郡中富良野町,1895-736,,142.528739,43.363754
字富良野原野,空知郡中富良野町,1895-506,,142.528941,43.362645
字富良野原野,空知郡中富良野町,1895-505,,142.528955,43.362701
字富良野原野,空知郡中富良野町,1895-735,,142.529235,43.362354
字富良野原野,空知郡中富良野町,1895-508,,142.528383,43.362042
字富良野原野,空知郡中富良野町,1895-831,,142.528857,43.362091
字富良野原野,空知郡中富良野町,1895-507,,142.528839,43.361854
字富良野原野,空知郡中富良野町,1895-732,,142.529232,43.362102
字富良野原野,空知郡中富良野町,1895-844,,142.529307,43.36206
字富良野原野,空知郡中富良野町,1895-734,,142.529222,43.362207
字富良野原野,空知郡中富良野町,1895-186,,142.531416,43.362442
字富良野原野,空知郡中富良野町,1895-61,,142.531149,43.362324
字ペペルイ,空知郡中富良野町,4143,,142.536256,43.365289
字ペペルイ,空知郡中富良野町,3175-2,,142.536548,43.368392
字ペペルイ,空知郡中富良野町,3175-1,,142.537369,43.369309
字中富良野,空知郡中富良野町,3277,,142.535044,43.36889
字ペペルイ,空知郡中富良野町,4145,,142.536201,43.369092
字ペペルイ,空知郡中富良野町,4144,,142.536977,43.366683
字ペペルイ,空知郡中富良野町,2948-1,,142.535847,43.366503
