面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
9.0,23,0042,None,None,2,11,00,2,133,None,99230002100042,None,23210420,0210,None,99.0,26,18,142.945461,44.475677
6.68,23,0065,None,None,0,11,00,1,48,None,99230002040065,None,23204650,0204,None,26.0,26,11,142.974841,44.458352
2.55,23,0056,None,None,0,11,00,1,25,None,99230002100056,None,23210560,0210,None,26.0,26,18,142.951339,44.475994
27.81,23,0008,None,None,0,11,00,2,133,None,99230002100008,None,23210080,0210,None,99.0,26,18,142.947901,44.474283
6.77,23,0045,None,None,2,11,00,2,133,None,99230002080045,None,23208450,0208,None,99.0,26,18,142.956477,44.463302
13.89,23,0012,None,None,0,11,00,2,133,None,99230003130012,None,23313120,0313,None,99.0,26,12,142.717408,44.597738
11.9,23,0057,None,None,0,11,00,1,27,None,99230003180057,None,23318570,0318,None,26.0,26,12,142.719115,44.600128
50.96,23,0003,None,None,0,11,00,2,133,None,99230002080003,None,23208030,0208,None,99.0,26,18,142.948138,44.470057
15.38,23,0062,None,None,0,11,00,1,48,None,99230002040062,None,23204620,0204,None,23.0,26,11,142.957098,44.453007
30.39,23,0003,None,None,0,11,00,2,133,None,99230002040003,None,23204030,0204,None,99.0,26,11,142.958469,44.450755
69.86,23,0001,None,None,0,11,00,2,133,None,99230002080001,None,23208010,0208,None,99.0,26,18,142.969615,44.471707
27.52,23,0054,None,None,0,11,00,1,44,None,99230002080054,None,23208540,0208,None,23.0,26,18,142.969615,44.470267
12.8,23,0051,None,None,2,11,00,1,63,None,99230002040051,None,23204510,0204,None,23.0,26,11,142.965843,44.453485
30.39,23,0003,None,None,0,11,00,2,133,None,99230002040003,None,23204030,0204,None,99.0,26,11,142.963804,44.449909
2.09,23,0059,None,None,0,11,00,1,25,None,99230002080059,None,23208590,0208,None,26.0,26,18,142.950168,44.472452
18.5,23,0057,None,None,0,11,00,1,27,None,99230002080057,None,23208570,0208,None,26.0,26,18,142.966724,44.469556
4.68,23,0055,None,None,0,11,00,1,43,None,99230002080055,None,23208550,0208,None,23.0,26,18,142.963942,44.470969
6.77,23,0045,None,None,2,11,00,2,133,None,99230002080045,None,23208450,0208,None,99.0,26,18,142.954365,44.460934
15.23,23,0067,None,None,0,11,00,1,47,None,99230002040067,None,23204670,0204,None,23.0,26,11,142.961485,44.450746
67.9,23,0035,None,None,2,11,00,2,133,None,99230002040035,None,23204350,0204,None,99.0,26,11,142.953963,44.449572
4.14,23,0041,None,None,2,11,00,2,133,None,99230002100041,None,23210410,0210,None,99.0,26,18,142.955774,44.475815
9.21,23,0042,None,None,2,11,00,2,133,None,99230002040042,None,23204420,0204,None,99.0,26,11,142.970736,44.457164
6.44,23,0064,None,None,0,11,00,1,48,None,99230002040064,None,23204640,0204,None,23.0,26,11,142.968546,44.458115
69.86,23,0001,None,None,0,11,00,2,133,None,99230002080001,None,23208010,0208,None,99.0,26,18,142.955639,44.459727
16.52,23,0061,None,None,0,11,00,1,48,None,99230002040061,None,23204610,0204,None,26.0,26,11,142.959045,44.454094
5.33,23,0041,None,None,2,11,00,2,133,None,99230002040041,None,23204410,0204,None,99.0,26,11,142.956686,44.455868
19.06,23,0055,None,None,0,11,00,1,49,None,99230002040055,None,23204550,0204,None,23.0,26,11,142.954363,44.455615
30.21,23,0014,None,None,0,11,00,2,133,None,99230002250014,None,23225140,0225,None,98.0,26,1,142.852601,44.469907
56.6,23,0002,None,None,0,11,00,2,133,None,99230002080002,None,23208020,0208,None,99.0,26,18,142.947013,44.452875
1.1,23,0051,None,None,0,11,00,1,26,None,99230002090051,None,23209510,0209,None,26.0,26,18,142.946872,44.456076
1.23,23,0054,None,None,0,11,00,1,29,None,99230002100054,None,23210540,0210,None,26.0,26,18,142.950954,44.482034
5.18,23,0052,None,None,0,11,00,1,51,None,99230002700052,None,23270520,0270,None,23.0,26,12,142.71703,44.488979
