面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
4.26,12,0070,None,None,2,03,00,1,60,None,99120000490070,None,12049700,0049,None,23.0,05,11,140.605775,42.743907
10.42,12,0078,None,None,0,03,00,1,52,None,99120000490078,None,12049780,0049,None,23.0,05,11,140.59978,42.737928
10.23,12,0065,None,None,2,03,00,1,66,None,99120000490065,None,12049650,0049,None,23.0,05,11,140.593117,42.734651
9.3,12,0064,None,None,2,03,00,1,67,None,99120000490064,None,12049640,0049,None,23.0,05,11,140.595231,42.73506
4.26,12,0070,None,None,2,03,00,1,60,None,99120000490070,None,12049700,0049,None,23.0,05,11,140.591772,42.737176
9.3,12,0064,None,None,2,03,00,1,67,None,99120000490064,None,12049640,0049,None,23.0,05,11,140.590614,42.736323
18.49,12,0071,None,None,2,03,00,1,61,None,99120000490071,None,12049710,0049,None,23.0,05,11,140.604644,42.73581
10.23,12,0065,None,None,2,03,00,1,66,None,99120000490065,None,12049650,0049,None,23.0,05,11,140.591479,42.73493
18.49,12,0071,None,None,2,03,00,1,61,None,99120000490071,None,12049710,0049,None,23.0,05,11,140.593325,42.741157
4.26,12,0070,None,None,2,03,00,1,60,None,99120000490070,None,12049700,0049,None,23.0,05,11,140.592241,42.741415
65.52,12,0001,None,None,0,03,00,2,133,None,99120000490001,None,12049010,0049,None,98.0,05,11,140.591615,42.739244
10.23,12,0065,None,None,2,03,00,1,66,None,99120000490065,None,12049650,0049,None,23.0,05,11,140.592744,42.739925
65.52,12,0001,None,None,0,03,00,2,133,None,99120000490001,None,12049010,0049,None,98.0,05,11,140.604928,42.746009
61.86,12,0001,None,None,0,03,00,2,123,None,99120000500001,None,12050010,0050,None,98.0,05,11,140.609335,42.721216
17.61,12,0062,None,None,0,03,00,1,19,None,99120000500062,None,12050620,0050,None,26.0,05,11,140.612105,42.719736
3.78,12,0041,None,None,2,03,00,2,133,None,99120000500041,None,12050410,0050,None,98.0,05,11,140.609446,42.722033
22.65,12,0008,None,None,0,03,00,2,133,None,99120000500008,None,12050080,0050,None,98.0,05,11,140.6093,42.722902
5.57,12,0052,None,None,2,03,00,1,62,None,99120000510052,None,12051520,0051,None,23.0,05,11,140.587198,42.727228
12.27,12,0058,None,None,2,03,00,1,57,None,99120000510058,None,12051580,0051,None,23.0,05,11,140.593555,42.721116
16.9,12,0060,None,None,2,03,00,1,55,None,99120000510060,None,12051600,0051,None,23.0,05,11,140.599781,42.719278
10.28,12,0057,None,None,2,03,00,1,58,None,99120000510057,None,12051570,0051,None,23.0,05,11,140.602533,42.718776
16.38,12,0056,None,None,2,03,00,1,60,None,99120000510056,None,12051560,0051,None,23.0,05,11,140.58792,42.724507
12.27,12,0058,None,None,2,03,00,1,57,None,99120000510058,None,12051580,0051,None,23.0,05,11,140.588073,42.726634
12.27,12,0058,None,None,2,03,00,1,57,None,99120000510058,None,12051580,0051,None,23.0,05,11,140.58837,42.721678
16.9,12,0060,None,None,2,03,00,1,55,None,99120000510060,None,12051600,0051,None,23.0,05,11,140.58947,42.72244
16.9,12,0060,None,None,2,03,00,1,55,None,99120000510060,None,12051600,0051,None,23.0,05,11,140.590302,42.720824
10.28,12,0057,None,None,2,03,00,1,58,None,99120000510057,None,12051570,0051,None,23.0,05,11,140.589794,42.721471
12.27,12,0058,None,None,2,03,00,1,57,None,99120000510058,None,12051580,0051,None,23.0,05,11,140.590551,42.731832
5.57,12,0052,None,None,2,03,00,1,62,None,99120000510052,None,12051520,0051,None,23.0,05,11,140.591183,42.733011
26.98,12,0007,None,None,0,03,00,2,101,None,99120000510007,None,12051070,0051,None,98.0,05,11,140.591929,42.728481
14.2,12,0055,None,None,2,03,00,1,61,None,99120000510055,None,12051550,0051,None,23.0,05,11,140.594877,42.724277
25.81,12,0002,None,None,0,04,00,2,133,None,99120000650002,None,12065020,0065,None,98.0,01,12,140.635172,42.689693
25.81,12,0002,None,None,0,04,00,2,133,None,99120000650002,None,12065020,0065,None,98.0,01,12,140.645264,42.686673
25.81,12,0002,None,None,0,04,00,2,133,None,99120000650002,None,12065020,0065,None,98.0,01,12,140.641286,42.686825
67.5,12,0001,None,None,0,03,00,2,133,None,99120000840001,None,12084010,0084,None,98.0,04,11,140.561904,42.681307
67.5,12,0001,None,None,0,03,00,2,133,None,99120000840001,None,12084010,0084,None,98.0,04,11,140.56065,42.696874
21.47,12,0032,None,None,2,03,00,2,133,None,99120000840032,None,12084320,0084,None,98.0,04,11,140.562811,42.68346
29.34,12,0045,None,None,2,03,00,2,133,None,99120000840045,None,12084450,0084,None,98.0,04,11,140.559549,42.683853
14.74,12,0041,None,None,2,04,00,2,133,None,99120000650041,None,12065410,0065,None,98.0,01,12,140.641199,42.683027
44.09,12,0022,None,None,0,03,00,2,103,None,99120001120022,None,12112220,0112,None,98.0,03,11,140.510888,42.597898
44.09,12,0022,None,None,0,03,00,2,103,None,99120001120022,None,12112220,0112,None,98.0,03,11,140.52323,42.601078
5.83,12,0031,None,None,2,03,00,2,133,None,99120001120031,None,12112310,0112,None,98.0,03,11,140.523562,42.604935
5.83,12,0031,None,None,2,03,00,2,133,None,99120001120031,None,12112310,0112,None,98.0,03,11,140.524797,42.600813
4.4,12,0041,None,None,2,03,00,2,103,None,99120001120041,None,12112410,0112,None,98.0,03,11,140.523422,42.601865
13.88,12,0031,None,None,2,03,00,2,133,None,99120000580031,None,12058310,0058,None,98.0,05,11,140.664562,42.734542
