面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
3.94,18,0062,None,None,0,09,00,1,26,None,99180000270062,None,18027620,0027,None,23.0,01,1,141.526572,43.818957
2.86,18,0061,None,None,0,09,00,1,43,None,99180000270061,None,18027610,0027,None,23.0,01,1,141.524131,43.819265
12.19,18,0002,None,None,0,09,00,2,133,None,99180000270002,None,18027020,0027,None,98.0,01,1,141.523817,43.817778
12.19,18,0002,None,None,0,09,00,2,133,None,99180000270002,None,18027020,0027,None,98.0,01,1,141.52767,43.819594
12.19,18,0002,None,None,0,09,00,2,133,None,99180000270002,None,18027020,0027,None,98.0,01,1,141.527985,43.817957
3.94,18,0062,None,None,0,09,00,1,26,None,99180000270062,None,18027620,0027,None,23.0,01,1,141.526508,43.817107
2.86,18,0061,None,None,0,09,00,1,43,None,99180000270061,None,18027610,0027,None,23.0,01,1,141.524235,43.816111
12.19,18,0002,None,None,0,09,00,2,133,None,99180000270002,None,18027020,0027,None,98.0,01,1,141.522743,43.815522
1.8,18,0098,None,None,0,09,00,6,122,None,99180000270098,None,18027980,0027,None,None,01,1,141.52675,43.815581
12.19,18,0002,None,None,0,09,00,2,133,None,99180000270002,None,18027020,0027,None,98.0,01,1,141.523247,43.813939
0.93,18,0060,None,None,0,09,00,1,44,None,99180000270060,None,18027600,0027,None,23.0,01,1,141.499957,43.797827
28.87,18,0005,None,None,0,09,00,2,133,None,99180000160005,None,18016050,0016,54.0,98.0,01,12,141.382311,43.759834
65.81,18,0008,None,54.0,0,09,00,2,133,None,99180000160008,None,18016080,0016,26.0,98.0,01,12,141.393727,43.746216
24.85,18,0009,None,52.0,0,09,00,2,133,None,99180000160009,None,18016090,0016,26.0,98.0,01,12,141.393547,43.739616
44.32,18,0002,None,None,0,09,00,2,133,None,99180000170002,None,18017020,0017,54.0,98.0,01,12,141.365265,43.755829
0.13,18,0096,None,None,0,09,00,6,122,None,99180000150096,None,18015960,0015,54.0,None,01,12,141.400804,43.753613
0.69,18,0001,None,None,0,09,00,2,133,None,99180000150001,None,18015010,0015,54.0,98.0,01,12,141.400647,43.756555
24.07,18,0005,None,None,0,09,00,2,133,None,99180000150005,None,18015050,0015,54.0,98.0,01,12,141.396869,43.752986
14.34,18,0004,None,None,0,09,00,2,133,None,99180000150004,None,18015040,0015,54.0,98.0,01,12,141.398623,43.755667
97.27,18,0003,None,54.0,0,09,00,2,133,None,99180000150003,None,18015030,0015,26.0,98.0,01,12,141.402189,43.744844
59.41,18,0002,None,52.0,0,09,00,2,133,None,99180000150002,None,18015020,0015,26.0,98.0,01,12,141.406605,43.740937
11.11,18,0004,None,None,0,09,00,2,133,None,99180000130004,None,18013040,0013,52.0,98.0,01,12,141.414329,43.77555
11.64,18,0007,None,None,0,09,00,2,133,None,99180000130007,None,18013070,0013,53.0,98.0,01,12,141.416431,43.772729
15.59,18,0004,None,None,0,09,00,2,133,None,99180000140004,None,18014040,0014,54.0,98.0,01,12,141.393735,43.755135
7.19,18,0003,None,None,0,09,00,2,133,None,99180000130003,None,18013030,0013,54.0,99.0,01,12,141.416346,43.77047
2.0,18,0041,None,None,2,09,00,2,133,None,99180000130041,None,18013410,0013,54.0,98.0,01,12,141.399072,43.766457
46.77,18,0001,None,None,0,09,00,2,133,None,99180000130001,None,18013010,0013,54.0,98.0,01,12,141.390778,43.767216
9.13,18,0041,None,None,2,09,00,2,133,None,99180000140041,None,18014410,0014,54.0,98.0,01,12,141.403959,43.759799
10.31,18,0032,None,None,2,09,00,2,133,None,99180000130032,None,18013320,0013,54.0,98.0,01,12,141.401589,43.766811
