面積,管理区,小班,森林の種類６コード,森林の種類３コード,複層区分,振興局,枝番,林種,林齢,森林の種類５コード,KEYCODE,森林の種類４コード,RINSYO_ID,林班,森林の種類２コード,樹種,市町村,森林の種類１コード,center_lng,center_lat
7.85,11,0009,None,None,0,01,00,2,133,None,99110000070009,None,11007090,0007,18.0,98.0,02,12,140.327892,41.51471
3.66,11,0001,None,None,0,01,00,2,133,None,99110000050001,None,11005010,0005,None,98.0,02,12,140.342516,41.512439
143.59,11,0001,None,None,0,01,00,2,133,None,99110000060001,None,11006010,0006,18.0,98.0,02,12,140.315647,41.519927
2.18,11,0004,None,None,0,01,00,2,133,None,99110000060004,None,11006040,0006,18.0,98.0,02,12,140.326494,41.517204
11.83,11,0003,None,63.0,0,01,00,2,133,None,99110000050003,None,11005030,0005,26.0,98.0,02,12,140.344701,41.512541
13.19,11,0005,None,None,0,01,00,2,133,None,99110000070005,None,11007050,0007,None,98.0,02,12,140.328964,41.509456
10.54,11,0004,None,None,0,01,00,2,133,None,99110000070004,None,11007040,0007,None,98.0,02,12,140.327468,41.507486
15.0,11,0003,None,None,0,01,00,2,133,None,99110000070003,None,11007030,0007,None,98.0,02,12,140.324131,41.508404
0.52,11,0055,None,None,0,01,00,1,62,None,99110000050055,None,11005550,0005,None,2.0,02,12,140.343715,41.509995
2.82,11,0008,None,None,0,01,00,2,133,None,99110000050008,None,11005080,0005,18.0,98.0,02,12,140.328298,41.515699
6.1,11,0051,None,None,0,01,00,1,56,None,99110000050051,None,11005510,0005,18.0,2.0,02,12,140.333399,41.515214
1.87,11,0052,None,None,0,01,00,1,56,None,99110000050052,None,11005520,0005,18.0,2.0,02,12,140.336325,41.514987
79.32,11,0008,None,26.0,0,01,00,2,103,None,99110000030008,61.0,11003080,0003,24.0,98.0,02,13,140.378141,41.518062
1.62,11,0061,None,None,0,01,00,1,58,None,99110000090061,None,11009610,0009,None,2.0,02,1,140.284065,41.492389
91.35,11,0001,None,None,0,01,00,2,133,None,99110000080001,None,11008010,0008,None,98.0,02,12,140.30818,41.506949
85.55,11,0003,None,None,0,01,00,2,103,None,99110000090003,None,11009030,0009,None,98.0,02,12,140.298742,41.504773
1.0,11,0060,None,None,0,01,00,1,54,None,99110000090060,None,11009600,0009,None,2.0,02,12,140.285272,41.493304
1.64,11,0095,None,26.0,0,01,00,6,122,None,99110000080095,61.0,11008950,0008,24.0,None,02,13,140.319089,41.499488
17.94,11,0007,None,None,0,01,00,2,133,None,99110000090007,None,11009070,0009,None,98.0,02,12,140.306229,41.513977
46.85,11,0008,None,26.0,0,01,00,2,103,None,99110000070008,61.0,11007080,0007,24.0,98.0,02,13,140.33163,41.507212
29.84,11,0008,None,None,0,01,00,2,103,None,99110000090008,None,11009080,0009,None,98.0,02,12,140.290389,41.500658
10.64,11,0005,None,None,0,01,00,2,133,None,99110000080005,None,11008050,0008,None,98.0,02,12,140.295902,41.501647
8.02,11,0002,None,None,0,01,00,2,133,None,99110000080002,None,11008020,0008,None,98.0,02,12,140.314546,41.504626
45.98,11,0002,None,None,0,01,00,2,133,None,99110000070002,None,11007020,0007,None,98.0,02,12,140.318267,41.508475
10.39,11,0003,None,None,0,01,00,2,133,None,99110000080003,None,11008030,0008,None,98.0,02,12,140.315079,41.506735
2.64,11,0052,None,None,0,01,00,1,58,None,99110000090052,None,11009520,0009,None,2.0,02,12,140.285209,41.500772
30.51,11,0005,None,None,0,01,00,2,101,None,99110000100005,None,11010050,0010,None,98.0,02,12,140.278898,41.506843
85.55,11,0003,None,None,0,01,00,2,103,None,99110000090003,None,11009030,0009,None,98.0,02,12,140.288705,41.507933
0.82,11,0054,None,None,0,01,00,1,58,None,99110000090054,None,11009540,0009,None,2.0,02,12,140.291045,41.505384
24.2,11,0001,None,None,0,01,00,2,133,None,99110000090001,None,11009010,0009,None,98.0,02,12,140.282551,41.491262
2.14,11,0051,None,None,0,01,00,1,58,None,99110000090051,None,11009510,0009,None,2.0,02,12,140.28389,41.504592
0.89,11,0055,None,None,0,01,00,1,58,None,99110000090055,None,11009550,0009,None,2.0,02,12,140.293952,41.507241
6.09,11,0001,None,None,0,01,00,2,133,None,99110000100001,None,11010010,0010,None,98.0,02,12,140.282894,41.514375
3.18,11,0002,None,None,0,01,00,2,101,None,99110000100002,None,11010020,0010,None,98.0,02,12,140.285357,41.514349
2.26,11,0074,None,None,0,01,00,1,50,None,99110000100074,None,11010740,0010,None,2.0,02,12,140.250005,41.51281
4.43,11,0079,None,None,0,01,00,1,36,None,99110000100079,None,11010790,0010,None,2.0,02,12,140.261443,41.507791
30.51,11,0005,None,None,0,01,00,2,101,None,99110000100005,None,11010050,0010,None,98.0,02,12,140.289067,41.512766
31.73,11,0001,None,None,0,01,00,2,133,None,99110000110001,None,11011010,0011,None,98.0,02,12,140.280095,41.516141
2.73,11,0078,None,None,0,01,00,1,36,None,99110000100078,None,11010780,0010,None,2.0,02,12,140.271119,41.506871
2.26,11,0074,None,None,0,01,00,1,50,None,99110000100074,None,11010740,0010,None,2.0,02,12,140.248203,41.512214
8.94,11,0021,None,None,0,01,00,2,101,None,99110000100021,None,11010210,0010,None,98.0,02,12,140.251641,41.512008
5.49,11,0072,None,None,0,01,00,1,63,None,99110000100072,None,11010720,0010,None,2.0,02,12,140.265779,41.509523
30.51,11,0005,None,None,0,01,00,2,101,None,99110000100005,None,11010050,0010,None,98.0,02,12,140.284401,41.511989
2.3,11,0066,None,None,0,01,00,1,70,None,99110000100066,None,11010660,0010,None,2.0,02,12,140.274611,41.505591
8.59,11,0022,None,None,0,01,00,2,101,None,99110000100022,None,11010220,0010,None,98.0,02,12,140.276396,41.507141
8.59,11,0022,None,None,0,01,00,2,101,None,99110000100022,None,11010220,0010,None,98.0,02,12,140.274809,41.509894
2.73,11,0078,None,None,0,01,00,1,36,None,99110000100078,None,11010780,0010,None,2.0,02,12,140.276421,41.509316
